Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
142,613794,PARASEA-BELBAID UG PROJECT,Eastern Coal Fields Limited [ECL],West Bengal,01/2023,01/2023,03/2028,-,389.1,389.1,132.48,22.13,Aviation & Aviation Infrastructure
143,616230,PARASCOLE JAMBAD OCP,Eastern Coal Fields Limited [ECL],West Bengal,11/2024,11/2024,03/2037,-,1193.55,1193.55,11.42,0.22,Aviation & Aviation Infrastructure
144,617299,50 MW Wind Power Project,NLC India Limited [NLCIL],Gujarat,07/2022,01/2024,06/2025,01/2026,383.84,383.84,328.56,51.0,Aviation & Aviation Infrastructure
145,617730,600 MW Khavda Solar Power Project,NLC India Limited [NLCIL],Gujarat,08/2023,06/2024,06/2026,-,3335.85,3335.85,2171.16,40.0,Aviation & Aviation Infrastructure
146,618991,200 MW SPP part of 510 MW CPSU scheme,NLC India Limited [NLCIL],Gujarat,07/2022,03/2024,12/2026,-,1221.41,1221.41,64.03,0.0,Aviation & Aviation Infrastructure
147,618992,100 MW SPP part of SECI 150 MW Hybrid,NLC India Limited [NLCIL],Gujarat,07/2022,04/2024,12/2026,-,480.68,480.68,2.62,1.2,Aviation & Aviation Infrastructure
148,400231,NLC Talabira Thermal Power Project,NLC India Limited [NLCIL],Odisha,01/2017,01/2024,03/2030,-,27212.96,27213.0,3454.06,2.1,Aviation & Aviation Infrastructure
149,612819,300 MW SPP part of 510 MW CPSU scheme,NLC India Limited [NLCIL],Rajasthan,07/2022,03/2023,09/2024,12/2025,1813.0,1813.0,1753.07,100.0,Aviation & Aviation Infrastructure
150,618981,810 MW Solar Power Project - Rajasthan,NLC India Limited [NLCIL],Rajasthan,10/2024,09/2025,03/2028,-,4147.07,4147.07,224.77,0.0,Aviation & Aviation Infrastructure
151,615327,50 MW Solar PP Minedout Area,NLC India Limited [NLCIL],Tamil Nadu,08/2023,02/2024,03/2025,12/2025,218.03,218.03,169.95,100.0,Aviation & Aviation Infrastructure
152,400259,Ghatampur Thermal Power Plant 3 X 660 MW,NLC India Limited [NLCIL],Uttar Pradesh,07/2016,08/2016,11/2020,03/2026,17237.8,21780.9,21237.52,95.68,Aviation & Aviation Infrastructure
153,400203,Dharamjaigarh-Korba,Railway,Chhattisgarh,05/2018,03/2017,12/2026,08/2026,1686.22,2438.53,625.77,43.5,Aviation & Aviation Infrastructure
154,400416,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],Ministry of Coal,Jharkhand,02/2018,05/2022,06/2025,06/2026,1799.64,2564.34,1713.19,71.0,Aviation & Aviation Infrastructure
155,400192,Tubed Coal Mine,Damodar Valley Corporation,Jharkhand,07/2016,10/2016,05/2026,05/2026,1581.0,1581.0,601.03,36.0,Aviation & Aviation Infrastructure
156,603293,Badam Coal Mining project of NTPC,National Thermal Power Corporation [NTPC],Jharkhand,02/2019,09/2019,12/2056,04/2027,502.0,784.0,471.08,67.86,Aviation & Aviation Infrastructure
157,602182,Dibang Multipurpose Project,National Hydroelectric Power Corporation Limited [NHPC],Arunachal Pradesh,02/2023,02/2023,02/2032,02/2032,31876.39,31876.4,4593.04,17.43,Aviation & Aviation Infrastructure
158,611698,240MW Heo HE Project,North Eastern Electric Power Corporation Limited,Arunachal Pradesh,12/2024,05/2025,07/2029,-,1938.85,1938.85,96.94,4.95,Aviation & Aviation Infrastructure
159,611699,186 MW Tato-I H E Project,North Eastern Electric Power Corporation Limited,Arunachal Pradesh,12/2024,05/2025,07/2029,-,1750.07,1750.07,73.91,5.04,Aviation & Aviation Infrastructure
160,611716,700 MW Tato-II HE Project,North Eastern Electric Power Corporation Limited,Arunachal Pradesh,09/2025,09/2025,09/2031,-,8146.21,8146.21,243.25,6.41,Aviation & Aviation Infrastructure
161,619311,Kalai-II Hydro Electric Project [1200 MW],THDC India Limited,Arunachal Pradesh,04/2026,04/2026,10/2032,-,14105.83,14105.8,187.16,0.0,Aviation & Aviation Infrastructure
162,602579,Buxar Thermal Power Project [1320 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Bihar,03/2019,06/2019,01/2024,05/2026,10439.09,13756.6,13370.07,94.33,Aviation & Aviation Infrastructure
163,619051,Nabinagar Super Thermal Power Project Stage-II [3x800 MW],National Thermal Power Corporation [NTPC],Bihar,11/2024,03/2025,07/2030,-,29948.0,29948.0,2676.55,10.17,Aviation & Aviation Infrastructure
164,611930,Lara Super Thermal Power Project Stage-II [2 x 800 MW],National Thermal Power Corporation [NTPC],Chhattisgarh,08/2023,08/2023,06/2028,09/2028,15530.0,16106.0,4787.3,28.6,Aviation & Aviation Infrastructure
165,617188,Sipat Super Thermal Power Project Stage-III [1x800 MW],National Thermal Power Corporation [NTPC],Chhattisgarh,09/2024,09/2024,09/2029,-,9791.0,9791.0,1619.63,18.91,Aviation & Aviation Infrastructure
166,709747,Bagodara Solar Power Project,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Gujarat,03/2021,05/2021,12/2025,12/2025,339.35,339.35,370.0,51.86,Aviation & Aviation Infrastructure
