Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
1662,618071,Construction of two lane with paved shoulder Gangtok Bypass Road from Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim,MoRTH,Sikkim,10/2021,05/2022,05/2024,06/2026,385.15,342.89,0.0,90.0,Aviation & Aviation Infrastructure
1663,618426,Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,NHIDCL,Sikkim,03/2018,01/2023,07/2024,12/2026,264.84,380.94,0.0,85.15,Aviation & Aviation Infrastructure
1664,618428,Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major Bridge of 680 m in the State of Sikkim on EPC Mode-COS work,NHIDCL,Sikkim,01/2021,04/2021,04/2023,05/2026,264.84,380.94,61.11,97.57,Aviation & Aviation Infrastructure
1665,618446,Construction & Upgradation of existing road to 2-lane with paved shoulder from New Rolep Bridge at km 37.600 to Chochenpheri at km 52.00 in the section of Rongli to Chochenpheri of NH 717B Pkg-II C,NHIDCL,Sikkim,10/2020,05/2021,05/2024,06/2026,493.42,478.79,0.0,77.07,Aviation & Aviation Infrastructure
1666,618447,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur NH- 717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,NHIDCL,Sikkim,01/2021,02/2021,02/2024,05/2026,410.6,379.3,0.0,81.83,Aviation & Aviation Infrastructure
1667,618448,Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Chochenpheri at Km 52000 to Helipad near Menla at Km 82000 of Rhenock-Menla Spur NH-717B Package-IIIA on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.,NHIDCL,Sikkim,10/2020,12/2020,12/2023,10/2026,816.79,786.6,32.28,60.88,Aviation & Aviation Infrastructure
1668,618449,Construction & Upgradation of existing road to 2-lane with paved shoulder from km27.200 End of Rongli bypass to km37.600New Rolep Bridge of Rhenok-Menla spur NH-717B on EPC Mode under SARDP-NE Phase-A in Sikkim Pkg-II B,NHIDCL,Sikkim,07/2020,10/2020,04/2023,09/2026,230.45,244.91,0.0,80.46,Aviation & Aviation Infrastructure
1669,618450,Rehabilitation & Upgradation of existing road to 2-lane with paved shoulder including geometric improvement of section from start of Rabangla km33.600 to km58.840 under SARDP-NE Phase A Pkg- IV,NHIDCL,Sikkim,07/2020,10/2020,05/2022,06/2026,292.8,292.8,1.91,65.1,Aviation & Aviation Infrastructure
1670,617962,Construction of Bypass to Madurai Achambathu Viratipathu in between km 6/850 10/382 of NH 49 Extn New NH 85 including Land Acquisition on Engineering Procurement & Construction EPC basis Contract under NH O Annual Plan 2021-22 in the state of Tamil Nadu job No.NH-49 Extn New NH 85 - TN-2021-22-997,MoRTH,Tamil Nadu,03/2022,09/2024,08/2026,08/2026,238.97,260.07,119.33,93.0,Aviation & Aviation Infrastructure
1671,618478,Bangalore Chennai Expressway Phase-III Package II Walajahpet to Arakkonam from Km 180.000 to Km 204.500,National Highways Authority of India [NHAI],Tamil Nadu,01/2021,07/2022,07/2024,07/2026,1106.65,1106.65,590.04,93.04,Aviation & Aviation Infrastructure
1672,618479,Bangalore Chennai Expressway Phase-III Package III Arakkonam to Kancheepuram from Km 204.500 to Km 230.000,National Highways Authority of India [NHAI],Tamil Nadu,12/2020,08/2022,07/2024,09/2027,1525.1,1525.1,360.29,53.56,Aviation & Aviation Infrastructure
1673,618480,Construction of Trumpet Interchange Connecting Bangalore Chennai Expressway km.261705 to km. 262800 with Maduravoyal to Walajapet Section of NH 48 near Sriperumbudur Toll Plaza at km. 35700,National Highways Authority of India [NHAI],Tamil Nadu,05/2023,02/2024,08/2025,10/2026,162.55,162.56,43.1,24.13,Aviation & Aviation Infrastructure
1674,618481,4L Bangalore-Chennai Expressway from Km. 230.000 to Km. 261.705 of Kanchepuram to Sriperumbudur Section Phase-III/Package-IV,National Highways Authority of India [NHAI],Tamil Nadu,02/2021,07/2022,07/2024,10/2026,3605.73,3605.73,903.19,83.45,Aviation & Aviation Infrastructure
1675,618521,Karaipettai to Walajapet from Km 71.015 to 107.091,National Highways Authority of India [NHAI],Tamil Nadu,08/2018,02/2019,02/2021,05/2026,766.51,766.51,439.37,93.55,Aviation & Aviation Infrastructure
1676,618522,Balance Works for six laning of Sriperumbudur to karaipettai section of NH-4 New NH- 48 from 37000 Existing Km 37000 to Km 71015 Existing Km 71000 in Tamilnadu on EPC mode underNHDP Phase-V,National Highways Authority of India [NHAI],Tamil Nadu,06/2024,01/2025,10/2026,02/2027,411.16,411.16,81.11,31.16,Aviation & Aviation Infrastructure
1677,618561,Improving the Alignment of Thoppur Ghat Section from Km 158.500 to Km 165.100 in Dharmapuri - Salem Section of NH-44,National Highways Authority of India [NHAI],Tamil Nadu,03/2024,03/2025,03/2028,03/2028,904.99,731.09,165.29,35.62,Aviation & Aviation Infrastructure
1678,618562,Dindigul Bypass - Samyanallore from km. 373.275 to km. 426.00,National Highways Authority of India [NHAI],Tamil Nadu,06/2005,07/2006,01/2009,-,579.0,295.5,1.4,100.0,Aviation & Aviation Infrastructure
1679,618563,4L of Madurai Ring Road Phase 1 [Vadipatti-Thamrapatti] from km 0.00 - km 29.960,National Highways Authority of India [NHAI],Tamil Nadu,12/2018,03/2020,03/2022,06/2026,900.05,900.05,669.19,97.8,Aviation & Aviation Infrastructure
1680,618608,4L of left-over works including additional structures from Kerala/Tamil Nadu border to Kanyakumari Section from Km 43.0 to Km 96.174 of NH66,National Highways Authority of India [NHAI],Tamil Nadu,11/2022,08/2023,08/2025,10/2026,1564.23,1263.42,907.2,76.1,Aviation & Aviation Infrastructure
1681,618635,6L of Pondavakkam to Kannigaipair from km 96.040 to km 116.100 of NH 716B Pkg- IV,National Highways Authority of India [NHAI],Tamil Nadu,02/2021,01/2023,01/2025,11/2026,1359.81,1359.81,335.27,37.44,Aviation & Aviation Infrastructure
1682,618743,Trichy 135.800 to Karur 218.000 section of NH-67 - Trichy Bypass,National Highways Authority of India [NHAI],Tamil Nadu,12/2006,07/2007,10/2024,-,876.88,360.88,66.59,100.0,Aviation & Aviation Infrastructure
1683,618744,4L of Thirumangalam to Vadugapatti section from km 0.000 to km 36.000 of NH-744,National Highways Authority of India [NHAI],Tamil Nadu,03/2022,02/2023,02/2025,06/2026,1076.97,791.6,679.48,95.41,Aviation & Aviation Infrastructure
1684,618745,4L of Vadugapatti to Therkuvenganallur Rajapalyam section from km 36.000 to km 71.600 of NH-744,National Highways Authority of India [NHAI],Tamil Nadu,02/2022,04/2023,04/2025,05/2026,1317.6,1137.16,926.56,99.98,Aviation & Aviation Infrastructure
1685,618756,Melur - Pilayarpatti - Karaikudi from km 99.920 of NH 38 to km 12.9 of NH 383 Ext.,National Highways Authority of India [NHAI],Tamil Nadu,12/2018,03/2020,03/2022,07/2026,1103.86,1085.41,774.36,92.15,Aviation & Aviation Infrastructure
1686,618773,Tuticorin - Tirunelveli from km. 0.00 to km. 47.250,National Highways Authority of India [NHAI],Tamil Nadu,11/2009,04/2010,04/2012,-,449.85,452.48,1.17,100.0,Aviation & Aviation Infrastructure
1687,618800,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package II from Km 4.604 to Km 9.700,National Highways Authority of India [NHAI],Tamil Nadu,03/2023,11/2023,05/2026,11/2027,1616.97,1616.97,185.63,17.54,Aviation & Aviation Infrastructure
1688,618801,Construction of New Double Tier 4-lane Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from Km -0342 to Km 20223 Package 1 from Km - 0342 to Km 4604,National Highways Authority of India [NHAI],Tamil Nadu,03/2023,11/2023,05/2026,11/2027,1388.59,1388.59,200.25,21.93,Aviation & Aviation Infrastructure
1689,618846,Poondiyankuppam Km.67.000 to Sattanathapuram Km.123.800,National Highways Authority of India [NHAI],Tamil Nadu,03/2018,01/2022,01/2024,06/2026,2565.63,2319.35,1084.43,99.8,Aviation & Aviation Infrastructure
1690,618874,Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45,National Highways Authority of India [NHAI],Tamil Nadu,12/2006,01/2008,07/2010,05/2026,1003.11,435.81,9.43,100.0,Aviation & Aviation Infrastructure
1691,618894,4L of Madathukulam - Pollachi from km. 74.38 to km. 116.95 of old NH-209 New NH- 83,National Highways Authority of India [NHAI],Tamil Nadu,01/2019,12/2020,12/2022,06/2026,1772.13,1772.13,499.6,91.84,Aviation & Aviation Infrastructure
1692,618895,Kamalapuram to Oddanchatram from km. 0.00 to km. 35.822,National Highways Authority of India [NHAI],Tamil Nadu,01/2019,01/2021,01/2023,07/2026,1319.42,1319.42,417.69,91.93,Aviation & Aviation Infrastructure
1693,618897,4L of Sethiyathope -Cholapuram section from Km. 65.960 to Km. 116.440 section of NH45 C Pkg-II,National Highways Authority of India [NHAI],Tamil Nadu,03/2017,08/2018,08/2020,04/2026,2356.19,2356.9,1011.39,100.0,Aviation & Aviation Infrastructure
1694,618898,Balance Works for Four laning of Vikravandi to Sethiyathope section from Km 0.0 to Km 65.96 of NH-45C in Tamil Nadu under NHDP Phase-IV on EPC mode,National Highways Authority of India [NHAI],Tamil Nadu,01/2025,06/2025,06/2027,06/2027,1163.17,834.46,166.37,26.7,Aviation & Aviation Infrastructure
1695,618899,Kallagam km.38.700 to Meensurutti Km.98.433 of NH-227 in Tamil Nadu,National Highways Authority of India [NHAI],Tamil Nadu,02/2018,04/2019,04/2021,05/2026,1499.12,1499.12,682.68,100.0,Aviation & Aviation Infrastructure
1696,618943,Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68,National Highways Authority of India [NHAI],Tamil Nadu,12/2006,01/2008,01/2011,05/2026,861.23,1019.85,137.29,100.0,Aviation & Aviation Infrastructure
1697,619045,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package IV from Km 14.185 to Km 20.593,National Highways Authority of India [NHAI],Tamil Nadu,03/2023,11/2023,05/2026,11/2027,1205.4,1210.21,62.01,7.91,Aviation & Aviation Infrastructure
1698,619074,6-laning of Krishnagiri Km.0.000 to Walajahpet Km.148.300 section on NH-46 under NHDP-V,National Highways Authority of India [NHAI],Tamil Nadu,12/2009,06/2011,12/2013,06/2026,1673.17,781.74,269.61,99.99,Aviation & Aviation Infrastructure
1699,619083,Thumbipadi-Namakkal from km. 180.00 to km. 248.625 Package No. NS-2/BOT/TN- 02,National Highways Authority of India [NHAI],Tamil Nadu,06/2005,08/2006,02/2009,08/2026,255.53,395.43,206.64,100.0,Aviation & Aviation Infrastructure
1700,619084,Start of Karur Bypass - Dindigul from km. 292.600 to km. 305.600 Contract Package No. NS2/BOT/TN-4,National Highways Authority of India [NHAI],Tamil Nadu,08/2005,10/2006,04/2009,10/2026,461.54,515.03,42.28,100.0,Aviation & Aviation Infrastructure
1701,619086,Chengapalli km 102.035 to Neelambur Km144.680 and Madukkarai Km 170.880 to Walayar K183.010 Package No. NS-2/BOT/TN-08,National Highways Authority of India [NHAI],Tamil Nadu,10/2009,09/2010,03/2013,10/2026,852.0,285.55,5.09,100.0,Aviation & Aviation Infrastructure
1702,619094,Thorapalli - Agraharam - Jittandahalli Section from km 23.350 to km 60.100 [Hosur to Dhamrapuri Pkg-2],National Highways Authority of India [NHAI],Tamil Nadu,02/2019,12/2021,12/2023,12/2026,1243.57,1272.11,623.59,82.56,Aviation & Aviation Infrastructure
1703,619129,Mahabalipuram - Pondicherry Pkg-I [Mamallapuram to Mugaiyur],National Highways Authority of India [NHAI],Tamil Nadu,02/2019,05/2022,05/2024,12/2026,1360.54,1477.94,575.41,58.65,Aviation & Aviation Infrastructure
1704,619130,Mahabalipuram - Pondicherry Pkg-II [Mugaiyur to Marakkanam],National Highways Authority of India [NHAI],Tamil Nadu,02/2019,12/2023,12/2025,02/2027,1116.13,1463.75,531.32,53.41,Aviation & Aviation Infrastructure
1705,619131,Four Laning of Chettikulam to Natham section of NH-785,National Highways Authority of India [NHAI],Tamil Nadu,03/2018,11/2018,11/2020,06/2026,837.61,823.93,169.31,99.75,Aviation & Aviation Infrastructure
1706,619139,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package III from Km 9.700 to Km 14.185,National Highways Authority of India [NHAI],Tamil Nadu,03/2023,11/2023,05/2026,11/2027,1299.36,1299.36,146.74,16.88,Aviation & Aviation Infrastructure
1707,619161,Access Controlled Highway of 4 Lane with Paved Shoulders from Tiruvallur Design Chainage Km 1756 to TN/AP Broder Design Chainage Km 6151 of NH-716 Chennai- Tirupati Package-1,National Highways Authority of India [NHAI],Tamil Nadu,03/2024,12/2024,12/2026,02/2027,1376.1,1247.7,133.77,34.5,Aviation & Aviation Infrastructure
1708,619222,Balance works of four lane from km 43.950 Thiruvallur Bypass to km 61.470 Veppampattu Bypass passing through Thannerkulam Thozur and Sevapet Bypass 17.520 kms of Tirupathi- Tiruttani- Chennai section of NH 205,National Highways Authority of India [NHAI],Tamil Nadu,03/2022,09/2022,09/2024,05/2026,467.99,699.68,450.86,97.92,Aviation & Aviation Infrastructure
1709,617913,6-laning of km 9.900 to km 19/948 Aramgarh to Shamshabad Section of Hyderabad- Bangalore section of NH-44 Under NHO EPC basis in the state of Telangana,MoRTH,Telangana,01/2018,05/2018,05/2020,06/2026,283.15,300.7,480.38,92.62,Aviation & Aviation Infrastructure
1710,617936,Widening to two/four lane with paved shoulder from Km.180.600 to Km.223.000 of NH-63 on Nizamabad-Jagadalpur road on EPC mode under NHO in the state of Telangana.,MoRTH,Telangana,10/2016,03/2017,03/2019,-,253.99,183.26,0.0,100.0,Aviation & Aviation Infrastructure
1711,617939,6-Laning of Pune-Hyderabad Section of NH-65 from Km 493/0 to Km 524/0 from Sangareddy X Roads to Madinaguda in the State of Telangana,MoRTH,Telangana,03/2023,07/2024,07/2026,07/2026,1297.75,1297.75,0.0,37.5,Aviation & Aviation Infrastructure
1712,617940,Rehabilitation and Upgradation of LB-Nagar to Malkapur section to 6-Lane main carriageway with service roads drains cum footpath including VUPs and widening of Minor bridge & road safety provisions from Km. 15/00 to Km 40/00 of NH-65 Old NH-9 under NH O for the year 2020-21 in the state of Telangana on EPC Mode.,MoRTH,Telangana,03/2021,07/2022,07/2024,06/2026,545.11,545.11,273.9,80.59,Aviation & Aviation Infrastructure
1713,617980,Construction of six lane elevated corridor from km 7.950 Uppal to km 14.200 of NH- 163 to De-Congest the urban limits of Hyderabad-Bhoopalapatnam section on EPC mode in the state of Telangana,MoRTH,Telangana,03/2018,07/2018,07/2020,10/2026,626.76,626.76,16.13,51.7,Aviation & Aviation Infrastructure
1714,617981,Widening to Two with Paved shoulders from Km 59.500 to Km 132.033 of Manneguda- Ravunapally section of NH-163 Erstwhile SH-4 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,Telangana,03/2017,05/2017,05/2019,05/2026,359.0,359.0,0.0,99.92,Aviation & Aviation Infrastructure
1715,617982,Widening and strengthening of existing 2-lane to 2- lane with paved shoulders from km 159/0 to 165/4 and 186/0 to 215/0 of NH-163 on EPC mode int the state of Telangana,MoRTH,Telangana,01/2018,06/2018,11/2019,12/2020,230.03,230.03,0.0,0.0,Aviation & Aviation Infrastructure
1716,617983,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,MoRTH,Telangana,03/2021,07/2022,07/2024,06/2026,317.19,300.56,175.26,87.0,Aviation & Aviation Infrastructure
1717,617992,Rehabilitation & upgradation of NH - 167 from design km 187.723 to 234.434 Miryalaguda to Kodad section to two lane with paved shoulder on EPC mode in the state of Telangana,MoRTH,Telangana,03/2018,09/2018,09/2020,06/2026,322.81,322.81,148.48,98.14,Aviation & Aviation Infrastructure
1718,617993,Rehabilitation and upgradation of NH-167 from design km 157.707 to 187.723 design length 30.016 km to two lane with paved shoulders of Alinagar-Miryalaguda Sec on EPC mode in the state of Telangana,MoRTH,Telangana,02/2018,05/2018,11/2019,06/2026,220.28,220.28,0.0,97.74,Aviation & Aviation Infrastructure
1719,617994,Rehabilitation and upgradation of NH-167 from design km 113.900 to 154.479 Mallepally Haliya section to two lane with paved shoulders on EPC mode in the stte of Telangana,MoRTH,Telangana,02/2018,06/2018,11/2019,12/2025,294.13,257.61,239.25,88.22,Aviation & Aviation Infrastructure
1720,617995,Widening to Two Lane with Paved Shoulders from Km 67.000 to Km 114.425 of Kalwakurthy- Mallapally Section of NH 167 Erstwhile section of SH 18 in the State of Telangana on EPC mode under NH O Annual Plan 2016-17,MoRTH,Telangana,01/2017,05/2017,05/2019,12/2025,300.0,300.0,175.1,99.2,Aviation & Aviation Infrastructure
1721,617996,Widening to 2/4 Lane with paved shoulders from Km 182.120 to Km 227.600 of NH 167 on Haggari-Jadcherla Road on EPC mode under NHO in the state of Telangana,MoRTH,Telangana,10/2016,02/2017,02/2019,03/2026,298.0,298.0,234.7,95.6,Aviation & Aviation Infrastructure
1722,618001,Construction of 4-lane flyover at Amberpet-X road Hyderabad on NH-202 in the State of Telangana,MoRTH,Telangana,05/2018,06/2021,06/2023,06/2026,216.53,265.88,154.05,92.1,Aviation & Aviation Infrastructure
1723,618025,Rehabiitation and upgradation from km 121/000 to 154/000 Nakrekal to Mallampally section of NH-365 to 2 lane with paved shoulders in the state of Telangana in the EPC mode,MoRTH,Telangana,03/2018,06/2018,12/2019,05/2026,192.67,192.67,141.81,96.0,Aviation & Aviation Infrastructure
1724,618026,Rehabilitation and upgradation to two lane with paved shoulders from Km 0/000 to 72/6 of NH-365 Nakrekal to Tanamcherla section under NHDP IV in the state of Telangana under EPC mode,MoRTH,Telangana,06/2017,11/2017,10/2019,05/2026,605.08,605.08,585.2,99.9,Aviation & Aviation Infrastructure
1725,618091,Widening to two lane with paved shoulders from Km 0/000 to Km 45/946 of Nizampet- Narayankhed-bidar section of NH-161B in the state of Telangana under Annual Plan 2021-22 on EPC mode under NHO,MoRTH,Telangana,03/2022,02/2024,02/2026,03/2027,512.98,512.98,117.6,41.8,Aviation & Aviation Infrastructure
1726,618104,Widening to two lane with paved shoulders from Km 0/000 to Km 79/300 of Kalwakurthy - Kollapur section of NH-167K in the state of Telangana under annual plan 2021-22 on EPC mode under NHO.,MoRTH,Telangana,03/2022,07/2023,07/2025,06/2026,886.69,886.69,573.13,85.66,Aviation & Aviation Infrastructure
1727,618105,Widening and strengthening to 4 lane / 2-lane with paved shoulders of Mahabubnagar - Chincholi section from km 60/255 to Km 102/834 of NH-167N in the State of Telangana on EPC mode.,MoRTH,Telangana,03/2022,10/2023,10/2025,11/2026,631.49,631.49,92.56,30.8,Aviation & Aviation Infrastructure
1728,618106,Widening and Strengthening to 2/4 lane with paved shoulders of Mahabubnagar Chincholi section from Km 0/0 to Km 60/255 of NH-167N in the state of Telangana under Annual plan 2021-22 on EPC modepackage-I under NHO Job No.167N-TS- 2021-22-75,MoRTH,Telangana,01/2022,01/2023,01/2025,05/2026,703.68,703.68,279.58,90.69,Aviation & Aviation Infrastructure
1729,618130,Widening to 2 lane with paved shoulders from 0.00 to 32.970 ofAdilabadto Bela section of NH 353B in the State of Telangana,MoRTH,Telangana,10/2022,05/2024,05/2026,05/2026,490.92,490.92,0.0,75.38,Aviation & Aviation Infrastructure
1730,618132,Widening & strengthening of existing carriageway in 2 lane with paved shoulders from km 25/0 to 59/2 design Ch km 25.467 to 59.200 of NH - 353C on EPC mode in the state of Telangana,MoRTH,Telangana,02/2018,06/2018,06/2020,-,206.13,206.13,152.77,98.57,Aviation & Aviation Infrastructure
1731,618140,Widening to two/four lane with paved shoulders from Km.34.250 to Km.71.830 of NH- 365A on Kodad-Khammam-Kurvi road.,MoRTH,Telangana,10/2022,02/2025,01/2027,01/2027,445.76,445.76,18.32,10.8,Aviation & Aviation Infrastructure
1732,618141,Widening and Improvement of existing carriage way to 2 lane with paved shoulders from Km. 86/160 to 131/730 of Jangaon-Duddeda section of NH-365B in the State of Telangana on EPC Mode,MoRTH,Telangana,01/2022,12/2022,12/2024,05/2026,423.48,423.48,160.07,76.92,Aviation & Aviation Infrastructure
1733,618142,Widening to Two lane with Paved shoulders from km.40/410 to 84/037 of Thirumanlagiri-- Suryapet Section of NH-365B earstwhile section of SH-16,MoRTH,Telangana,01/2017,05/2017,05/2019,09/2019,244.54,244.54,0.0,99.96,Aviation & Aviation Infrastructure
1734,618143,widening to two lane with Paved shoulders from Km.0/970 to Km.40/410 of Jangaon - Thirumal giriof NH- 365B in the state of Telanganaon EPC mode under NHO Annual Plan 2016-17,MoRTH,Telangana,03/2017,11/2017,10/2019,10/2019,197.0,197.0,0.0,92.74,Aviation & Aviation Infrastructure
1735,618182,Widening to Two lane with paved shoulders from 106/830 to 158/496 of Yellareddy- Rudrur Section of NH-765D in the state of Telangana on EPC mode under NHO under Annual plan 2022-23,MoRTH,Telangana,10/2022,07/2024,07/2026,07/2026,499.88,499.88,187.35,63.44,Aviation & Aviation Infrastructure
1736,618183,Widening to 2 lane with paved shoulders from Km 62/920 to km 106/830 of Medak - Yellareddy section in the State of Telangana under Annual Plan 2022-23 on EPC mode under NHO,MoRTH,Telangana,10/2022,08/2024,08/2026,08/2026,399.01,399.01,0.0,66.04,Aviation & Aviation Infrastructure
1737,618186,Rehabilitation and Up-gradation of Valigonda to Thorrur Section to Two Lane with Paved Shoulders from Km 39.180 to Km 108.300 of NH-930P in the State of Telangana on Engineering Procurement and Construction EPC Basis,MoRTH,Telangana,01/2022,12/2022,12/2024,05/2026,549.28,549.28,296.89,94.01,Aviation & Aviation Infrastructure
1738,618190,Widening to two lane with paved shoulders of 'Bodhan Basar Bhainsa ' section from Km 38/900 to 95/300 of NH-161BB in the state of Telangana under Annual Plan 2021- 22 on EPC Mode under NH O.,MoRTH,Telangana,03/2022,03/2023,03/2025,05/2026,644.45,644.45,349.38,98.6,Aviation & Aviation Infrastructure
1739,618196,Widening to 2 lane with Paved Shoulders of Siddipet-Elkathurthy section from Km 69/978 to km 133/619 of NH-765DG in the State of Telangana under Annual plan 2021-22 on EPC mode,MoRTH,Telangana,01/2022,12/2022,12/2024,06/2026,578.85,578.85,0.0,85.0,Aviation & Aviation Infrastructure
1740,618197,Widening to 2 lane with Paved Shoulders of Medak - Siddipet section from Km 0/0 to km 69/978 of NH-765DG in the State of Telangana under Annual plan 2021-22 on EPC mode,MoRTH,Telangana,01/2022,01/2023,01/2025,06/2026,882.18,882.18,347.73,74.06,Aviation & Aviation Infrastructure
1741,618558,Improvement of Geometrics of Kalkallu to Gundla Pochanpalli from Km 454.00 to Km 471.00 of NH-44,National Highways Authority of India [NHAI],Telangana,03/2022,01/2023,01/2025,07/2026,955.49,903.17,427.43,35.96,Aviation & Aviation Infrastructure
1742,618559,6L of existing 4L from Gundlapochampally to Bowenpally from km 471.300 to km 481.331 of NH-44,National Highways Authority of India [NHAI],Telangana,12/2021,08/2022,07/2024,04/2026,521.53,528.21,256.53,50.5,Aviation & Aviation Infrastructure
1743,618560,Improvement of Geometrics of Thondupally to Kothur from Km 22.300 to Km 34.14 of NH-44,National Highways Authority of India [NHAI],Telangana,03/2022,03/2023,09/2024,-,541.58,527.43,72.23,17.05,Aviation & Aviation Infrastructure
1744,618746,Khammam-Devarapalle Pkg I [4L Access Controlled Greenfield from Thallampadu village to Somavaram village Design Chainage 0000 to 33604],National Highways Authority of India [NHAI],Telangana,01/2021,10/2022,10/2024,10/2026,797.36,1337.18,635.3,95.8,Aviation & Aviation Infrastructure
1745,618765,4L of Karimnagar-Warangal section from km 49.500 to km 117.820 of NH-563,National Highways Authority of India [NHAI],Telangana,03/2022,07/2023,07/2025,07/2026,2146.86,2486.51,961.92,92.4,Aviation & Aviation Infrastructure
1746,618811,4L Access Controlled Greenfield Highway Section Mancherial Warangal from Pangidipalle village at Design Ch. 72.350 Km to Oorugonda village at Design Ch. 112.240 KmPackage-III,National Highways Authority of India [NHAI],Telangana,03/2023,06/2025,06/2027,06/2027,1183.71,1170.64,83.68,0.0,Aviation & Aviation Infrastructure
1747,618812,4L Access Controlled Greenfield Section Mancherial Warangal from Puttapaka village at Design Ch. 35.300 Km to Pangidipalle village at Design Ch. 72.350 KmPackage-II,National Highways Authority of India [NHAI],Telangana,01/2023,06/2025,06/2027,12/2027,1129.33,1145.41,78.94,6.3,Aviation & Aviation Infrastructure
1748,618813,4L Access Controlled Greenfield Section Mancherial Warangal from Narva village at Design Ch. 3.834 Km to Puttapaka village at Design Ch. 35.300 Km Package-I,National Highways Authority of India [NHAI],Telangana,03/2023,12/2024,12/2026,10/2027,1127.9,1104.27,110.86,9.0,Aviation & Aviation Infrastructure
1749,618814,4L Access Controlled Greenfield Highway section on NH163G Warangal-Khammam from Oorugonda village in Hanamkonda District at Design Ch. 112.240 Km to Venkatpur village in Warangal District at Design Ch. 150.240 KmPackage-I,National Highways Authority of India [NHAI],Telangana,03/2023,06/2025,06/2027,05/2028,1142.6,1140.82,65.67,0.0,Aviation & Aviation Infrastructure
1750,618815,4L Access Controlled Greenfield Highway section on NH-163G Warangal-Khammam from Venkatpur village in Warangal District at Design Ch. 150.240 Km to Thallasenkesa village in Mahabubabed District at Design Ch. 189.650 kmPackage-II,National Highways Authority of India [NHAI],Telangana,03/2023,04/2024,04/2026,10/2026,1092.88,1083.11,304.89,65.68,Aviation & Aviation Infrastructure
1751,618817,4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada from V. Venkatayapalem village at Design Ch. 220.480 Km to BrahmanapalliK village at Design Ch. 250.400 Km Package-I.,National Highways Authority of India [NHAI],Telangana,03/2023,03/2025,03/2027,06/2027,973.45,1021.96,227.62,42.15,Aviation & Aviation Infrastructure
1752,618944,Hyderabad - Maneguda,National Highways Authority of India [NHAI],Telangana,10/2021,11/2024,11/2026,05/2027,958.86,1218.49,193.26,15.78,Aviation & Aviation Infrastructure
1753,618945,4L of Kodad Design Km 0.00/Existing Km 185.00 of NH-65 to Khammam Design Km 31.800/Existing Km 29.400 of NH-365A,National Highways Authority of India [NHAI],Telangana,01/2021,01/2022,05/2024,05/2026,1149.17,1606.99,787.84,99.98,Aviation & Aviation Infrastructure
1754,619009,Upgradation to Two Lane with Paved Shoulders from Km 0.000 to Km 41.920 Green Field Alignment of Gowrelly to Valigonda Section of NH-930P in the State of Telangana on EPC Mode under Annual Plan 2022-23,MoRTH,Telangana,11/2022,05/2026,04/2028,-,690.33,690.33,0.0,0.0,Aviation & Aviation Infrastructure
1755,619128,Khammam-Devarapalle Pkg II [4L Access Controlled Greenfield from Somavaram village to Chintagudem village Design Chainage 33604 to 63117],National Highways Authority of India [NHAI],Telangana,01/2021,09/2022,09/2024,05/2026,615.78,981.64,431.67,98.02,Aviation & Aviation Infrastructure
1756,619165,Thanamcherla-Jamandlapally 2LPS,National Highways Authority of India [NHAI],Telangana,11/2013,03/2014,02/2023,05/2026,177.18,18.65,8.31,100.0,Aviation & Aviation Infrastructure
