Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
955,N24002175,CONSTRUCTION OF FOUR-LANE CONCRETE ROAD FROM POLICE HEADQUARTER GONDIA CITY TO RAWANWADI VILLAGE (BI,MoRTH,LADAKH,2-2023,8/2025,-,328.11,-,0.00,N.A.,POWER
956,N24002176,REHABILITATION/UP GRADATION OF KARANJA ? KHERDA - MURTIZAPUR SECTION TO 4LANE+PAVED SHOULDER STANDA,MoRTH,LADAKH,3-2023,2/2026,-,594.44,-,0.00,N.A.,POWER
957,N24002177,REHABILITATION / UPGRADATION TO 4 LANE WITH PAVED SHOULDER OF EXISTING SECTION IN SILLOD TOWN WITH D,MoRTH,LADAKH,3-2023,7/2025,-,153.79,-,0.00,N.A.,POWER
958,N24002178,"REHABILITATION, UPGRADATION AND WIDENING OF EXISTING HIGHWAY TO RIGID PAVEMENT 2 LANE WITH PAVED SHO",MoRTH,LADAKH,2-2023,7/2026,-,723.13,-,0.00,N.A.,POWER
959,N28000086,MUMBAI METRO LINE 3 (COLABA-BANDRA- SEEPZ),MMRCL,LADAKH,7-2013,3/2020,Jul-2025,"23,136.00",-,"28,615.78",94.77,"URBAN
DEVELOPMEN
T"
960,N28000121,PUNE METRO RAIL PROJECT (PHASE 1),MMRC,LADAKH,12-2016,11/2021,Sep-2024,"11,420.00","13,656.22","13,049.54",100.00,"URBAN
DEVELOPMEN
T"
961,N28000155,NAGPUR METRO RAIL PROJECT PHASE II,NMRCL,LADAKH,12-2022,12/2027,-,"6,708.00",-,809.32,22.68,"URBAN
DEVELOPMEN
T"
962,N28000157,PCMC NIGDI PROJECT EXTENSION OF CORRIDOR 1 OF PUNE METRO PHASE 1,MMRC,LADAKH,10-2023,1/2027,-,910.18,-,91.03,16.99,"URBAN
DEVELOPMEN
T"
963,N28000160,PUNE METRO PHASE-1 EXTENSION FROM SWARGATE TO KATRAJ,MMRC,LADAKH,9-2024,3/2029,-,"2,954.53",-,16.38,2.15,"URBAN
DEVELOPMEN
T"
964,N04000100,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, CONTROL TOWER CUM TECHNICAL BLOCK, APRON, LINK TAX",AAI,LADAKH,11-2021,7/2024,Mar-2026,499.00,-,154.47,40.36,"CIVIL
AVIATION"
965,220100288,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),NFR,LADAKH,4-2003,12/2026,Mar-2028,"14,322.79","12,274.06","15,338.76",69.00,RAILWAYS
966,N24001270,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2A),NHIDCL,LADAKH,3-2020,6/2022,Jun-2025,292.24,-,130.66,89.88,RAILWAYS
967,N24001271,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2B),NHIDCL,LADAKH,6-2020,8/2022,Jun-2025,365.53,-,156.31,77.36,RAILWAYS
968,N24001272,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 4A),NHIDCL,LADAKH,3-2020,6/2022,Jan-2025,167.95,204.12,88.05,69.89,RAILWAYS
969,N24001273,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 4B),NHIDCL,LADAKH,7-2020,8/2022,Feb-2025,177.76,-,89.67,80.53,RAILWAYS
970,N24001274,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM TAPHOU KUKI TO DAILI SECTI,NHIDCL,LADAKH,8-2020,4/2022,Jun-2025,379.39,-,218.03,70.31,RAILWAYS
971,N24001349,MARIAM - PEREN PKG-1A,NHIDCL,LADAKH,2-2021,12/2022,Mar-2025,226.32,-,105.78,74.48,RAILWAYS
972,N24001350,MARIAM - PEREN (PKG 1B),NHIDCL,LADAKH,2-2021,12/2022,Jan-2025,188.36,-,126.71,100.00,RAILWAYS
973,N24001354,TAMENGLONG - MAHUR PKG-3,NHIDCL,LADAKH,3-2021,12/2022,Sep-2024,234.08,-,139.45,92.82,RAILWAYS
974,N24001400,SENAPATI- IMPHAL PKG-5B,NHIDCL,LADAKH,3-2021,1/2023,May-2025,211.70,-,83.79,70.72,RAILWAYS
975,N24001401,IMPHAL - KHONGSANG PKG-3,NHIDCL,LADAKH,7-2021,3/2023,Mar-2025,467.00,-,193.81,77.80,RAILWAYS
976,N24001402,TAMENGLONG - MAHUR PKG-1,NHIDCL,LADAKH,7-2021,3/2023,Jan-2025,185.80,-,117.78,100.00,RAILWAYS
977,N24001403,TAMENGLONG - MAHUR PKG-2,NHIDCL,LADAKH,7-2021,3/2023,Jan-2025,483.87,-,278.89,92.94,RAILWAYS
978,N24001404,TAMENGLONG - MAHUR PKG-4,NHIDCL,LADAKH,7-2021,3/2023,Feb-2025,198.77,-,127.86,100.00,RAILWAYS
979,N24001405,CHURACHANPUR TUIVAI PKG-3,NHIDCL,LADAKH,7-2021,10/2023,Mar-2025,673.27,-,382.37,79.47,RAILWAYS
980,N24001436,TAMENGLONG - MAHUR PKG-5,NHIDCL,LADAKH,8-2021,5/2023,Jan-2025,477.86,-,246.09,84.60,RAILWAYS
981,N24001437,TAMENGLONG - MAHUR PKG-6,NHIDCL,LADAKH,9-2021,5/2023,Nov-2024,311.18,-,190.96,83.50,RAILWAYS
982,N24001439,MARAM - PEREN PKG-3,NHIDCL,LADAKH,8-2021,5/2023,Oct-2024,467.41,-,264.83,100.00,RAILWAYS
983,N24001453,IMPHAL - KHONGSANG PKG-4,NHIDCL,LADAKH,8-2021,12/2023,Jul-2025,579.63,-,172.65,72.00,RAILWAYS
984,N24001473,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,NHIDCL,LADAKH,9-2021,2/2024,Mar-2025,310.76,-,129.15,96.77,RAILWAYS
985,N24001538,IMPHAL - KHONGSANG PKG-5,NHIDCL,LADAKH,12-2021,5/2024,Jan-2026,410.68,-,147.81,68.79,RAILWAYS
986,N24001539,IMPHAL - KHONGSANG PKG-6,NHIDCL,LADAKH,12-2021,2/2025,Sep-2025,504.76,-,183.15,76.52,RAILWAYS
987,N24001540,AKASH BRIDGE - JESSAMI SECTION PKG-2,NHIDCL,LADAKH,3-2022,2/2025,Feb-2025,152.11,-,73.48,100.00,RAILWAYS
988,N24001974,CONSTRUCTION OF 2-LANING WITH HARD SHOULDER ROAD OF UKHRUL - TOLOI - TADUBI SECTION OF NH-102A FROM,NHIDCL,LADAKH,9-2021,1/2025,Aug-2025,315.56,-,137.81,88.54,RAILWAYS
989,N24002028,LMPHAL TO JIRIBAM PKG-7,NHIDCL,LADAKH,1-2023,12/2025,Dec-2025,760.16,-,148.98,60.60,RAILWAYS
990,N24002131,UKHRUL TOLOI TADUBI PKG-2,NHIDCL,LADAKH,3-2023,2/2026,Mar-2026,578.98,-,153.92,71.25,RAILWAYS
991,N24002202,MARREM KHULLEN TO JESSAMI SECTION IMPHAL- UKHRUL - JESSAMI PKG-6 (DESIGN CHAINAGE KM 95.700 TO KM 14,NHIDCL,LADAKH,3-2023,12/2026,-,554.66,-,17.79,11.93,RAILWAYS
992,N24002203,IMPHAL-KOHIMA ROAD PKG-4B,NHIDCL,LADAKH,9-2020,6/2026,-,268.98,-,13.14,15.90,RAILWAYS
993,N24002227,JESSAMI TO LAYNEN BRIDGE UKHRUL - JESSAMI PKG-7,NHIDCL,LADAKH,3-2023,6/2026,-,164.89,-,1.46,6.50,RAILWAYS
994,N24002232,IMPHAL-KOHIMA ROAD PKG-5A,NHIDCL,LADAKH,9-2020,8/2026,-,228.97,-,0.00,5.96,RAILWAYS
995,N24002242,CHOITHAR TO MARREM KHULLEN SECTION IMPHAL- UKHRUL - JESSAMI PKG-5,NHIDCL,LADAKH,3-2023,3/2027,-,564.05,-,0.00,N.A.,RAILWAYS
996,N24002244,IMPHAL - KHONGSANG - JIRIBAM PKG-2,NHIDCL,LADAKH,3-2021,3/2026,-,195.14,-,0.00,7.19,RAILWAYS
997,N42000001,CONSTRUCTION AND DEVELOPMENT OF NATINAL INSTITUTE OF TECHNOLOGY MEGHALAYA PERMANENT CAMPUS AT SOHRA,RITES OF HIGHER,LADAKH,9-2013,9/2014,Jul-2025,484.32,429.70,270.55,84.00,DEPARTMENT
998,N24000771,WIDENING TO 2-LANE WITH GEOMETRIC IMPROVEMENTS OF TURA DALU ROAD UNDER JICA FUNDING FROM KM 85.000 T,NHIDCL,LADAKH,4-2017,9/2021,Mar-2025,553.51,610.09,432.78,92.01,"OF HIGHER
EDUCATION"
999,N24001313,IMPROVEMENT/WIDENING TO 2-L WITH PAVED SHOULDER FROM (DESIGN KM 0.00 TO KM 10.670) / 4-LANING FROM (,NHIDCL,LADAKH,11-2020,12/2023,Oct-2025,351.12,-,295.88,62.50,"OF HIGHER
EDUCATION"
1000,N24001314,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER FROM (DESIGN KM 10.670 TO KM 37.550) BETWEEN SHIL,NHIDCL,LADAKH,11-2020,12/2023,-,525.68,-,434.11,31.00,"OF HIGHER
EDUCATION"
1001,N24001334,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER FROM (DESIGN KM 45.760 TO KM 63.530) BETWEEN SHIL,NHIDCL,LADAKH,11-2020,12/2023,-,445.51,-,207.20,26.00,"OF HIGHER
EDUCATION"
