Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
116,N24000946,CONSTRUCTION OF 2-LANE ROAD WITH PAVED SHOULDERS FROM KM16.00 OF ROING-HUNLI SECTION TO KM 21.500 OF,NHIDCL,"NICOBAR
ISLANDS",3-2017,3/2022,Jun-2025,"1,718.59","1,718.59",728.21,73.64,POWER
117,N24000979,TWO-LANING OF HAYULIANG? HAWAI BYPASS ROAD ON EPC BASIS FROM DESIGN KM. 51.825 TO KM. 63.131 EXISTI,NHIDCL,"NICOBAR
ISLANDS",1-2017,5/2023,May-2023,256.66,-,0.00,63.59,POWER
118,N24001244,CONSTRUCTION OF 2-LANING WITH HARD SHOULDERS OF ARROWA-KHUPA- HAYULIANG SECTION OF NH-113 FROM CH.68.,NHIDCL,"NICOBAR
ISLANDS",8-2020,4/2022,Feb-2025,301.06,-,198.22,81.06,POWER
119,N24001297,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 163.59 TO KM 206.66 (PACKAGE,MoRTH,"NICOBAR
ISLANDS",3-2019,3/2027,-,450.65,-,398.18,95.84,POWER
120,N24001375,4 LANING OF ITANAGAR TO BANDARDEWA SECTION OF NH-415 FROM KM 40+430 TO KM 51+735 (PACKAGE B) ON EPC,MoRTH,"NICOBAR
ISLANDS",6-2020,3/2027,-,496.47,-,194.62,42.69,POWER
121,N24001390,JORAM ? KOLORIANG ROAD FROM EXISTING KM 50.050 TO KM 70.00 (PKG-3),NHIDCL,"NICOBAR
ISLANDS",8-2020,4/2022,Aug-2024,228.71,-,98.86,99.52,POWER
122,N24001393,JORAM ? KOLORIANG ROAD FROM EXISTING KM122.600 TO KM138.00 (PKG-7),NHIDCL,"NICOBAR
ISLANDS",8-2020,4/2022,Feb-2024,184.88,-,99.32,97.42,POWER
123,N24002222,HUNLI TO HAYULIANG PKG-1,NHIDCL,"NICOBAR
ISLANDS",2-2024,2/2028,-,"1,262.43",-,12.12,2.35,POWER
124,N24002223,HUNLI TO ITHUN BRIDGE SECTION,NHIDCL,"NICOBAR
ISLANDS",2-2024,1/2027,-,275.50,-,7.61,6.01,POWER
125,N24002224,PANGO TO JORGING ROAD PKG-1,NHIDCL,"NICOBAR
ISLANDS",1-2024,7/2027,-,898.19,-,7.08,4.06,POWER
126,N04000083,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,AAI,"NICOBAR
ISLANDS",12-2016,3/2021,Aug-2025,"1,142.00",-,"1,884.13",87.93,"CIVIL
AVIATION"
127,N06000290,TIKAK EXTENSION OCP - 0.2 MTY,CIL,"NICOBAR
ISLANDS",7-2022,11/2030,-,159.77,-,81.45,N.A.,COAL
128,N06000291,TIRAP OCP,CIL,"NICOBAR
ISLANDS",11-2022,11/2027,-,289.46,-,105.59,N.A.,COAL
129,N21000027,"ALL INDIA INSTITUTE OF MEDICAL SCIENCE AT GUWAHATI, ASSAM",HITES,"NICOBAR
ISLANDS",5-2017,5/2021,Apr-2023,875.00,873.92,787.90,99.52,"HEALTH AND
FAMILY
WELFARE"
130,N16000331,DEVELOPMENT OF SURFACE FACILITIES FOR PRODUCTION AND EVACUATION OF CRUDE OIL AND NATURAL GAS FROM NA,OIL,"NICOBAR
ISLANDS",1-2018,2/2020,Dec-2024,543.91,726.93,491.56,93.95,"HEALTH AND
FAMILY
WELFARE"
131,N16000379,NUMALIGARH REFINERY EXPANSION PROJECT 6 MMTPA REFINARY,NRL,"NICOBAR
ISLANDS",1-2019,10/2024,-,"12,366.00",-,"16,013.82",74.01,"HEALTH AND
FAMILY
WELFARE"
132,N16000394,NUMALIGARH REFINERY EXPANSION PROJECT COIT AND PIPELINES,NRL,"NICOBAR
ISLANDS",1-2019,10/2024,-,"10,228.00",-,"9,447.83",85.06,"HEALTH AND
FAMILY
WELFARE"
133,N16000414,EXPANSION OF GUWAHATI REFINERY FROM 1 TO 1.2 MMTPA ALONG WITH INSTALLATION OF CATALYTIC REFORMING UN,IOCL,"NICOBAR
ISLANDS",5-2021,10/2023,May-2026,412.00,595.20,396.08,82.80,"HEALTH AND
FAMILY
WELFARE"
134,N16000441,"REVAMPING OF FACILITIES AT EXISTING GUWAHATI TERMINAL, ASSAM",IOCL,"NICOBAR
ISLANDS",3-2022,7/2026,Sep-2026,277.00,-,180.17,66.40,"HEALTH AND
FAMILY
WELFARE"
135,N16000449,UPGRADATION OF FACILITIES OF NUMALIGARH-SILIGURI PRODUCT PIPELINE (NSPL) FOR TRANSPORTATION OF ADDIT,OIL,"NICOBAR
ISLANDS",6-2021,12/2024,Apr-2025,860.00,-,535.46,96.50,"HEALTH AND
FAMILY
WELFARE"
136,N16000450,"PROJECT TO CONSTRUCT A FIELD GAS GATHERING STATION AT BAGHJAN AREA FOR COLLECTION,PROCESSING",OIL,"NICOBAR
ISLANDS",12-2020,7/2024,Mar-2024,430.76,-,319.86,83.66,"HEALTH AND
FAMILY
WELFARE"
137,N16000457,CAPACITY EXPANSION OF DIGBOI REFINERY FROM 0.65 TO 1.0 MMTPA,IOCL,"NICOBAR
ISLANDS",6-2022,10/2025,-,768.00,-,86.75,33.10,"HEALTH AND
FAMILY
WELFARE"
138,N16000484,"CONSTRUCTION OF LPG FACILITIES AT KAMARDANGA, ASSAM",HPCL,"NICOBAR
ISLANDS",3-2023,7/2027,Jul-2027,156.36,156.36,41.02,31.50,"HEALTH AND
FAMILY
WELFARE"
139,N16000494,"SETTING UP OF NEW RAIL FED POL FACILITY AT KAMARDANGA, ASSAM",HPCL,"NICOBAR
ISLANDS",3-2023,7/2027,Jul-2027,384.04,-,94.00,34.40,"HEALTH AND
FAMILY
WELFARE"
140,N16000510,POWER RECOVERY TURBINE IN PFCCU,NRL,"NICOBAR
ISLANDS",3-2023,7/2025,-,293.50,-,97.22,91.00,"HEALTH AND
FAMILY
WELFARE"
141,N16000511,DCU REVAMP PROJECT,NRL,"NICOBAR
ISLANDS",8-2021,3/2025,-,370.00,-,255.51,56.10,"HEALTH AND
FAMILY
WELFARE"
142,N16000528,PIPELINE NETWORK PROJECT RUDRASAGAR,ONGC,"NICOBAR
ISLANDS",1-2023,4/2026,-,344.99,-,172.04,45.30,"HEALTH AND
FAMILY
WELFARE"
143,N16000532,BORHOLLA GGS LIFE EXTENSION PROJECT,ONGC,"NICOBAR
ISLANDS",9-2023,5/2026,-,198.70,-,99.52,23.80,"HEALTH AND
FAMILY
WELFARE"
144,N22000388,BONGAIGAON-GOALPARA-GUWAHATI (176 KM),NFR,"NICOBAR
ISLANDS",4-2015,3/2026,-,"4,059.65",-,"3,652.94",92.31,RAILWAYS
145,N24000319,4 LANING OF JORHAT TO JHANJI SECTION FROM KM. 453.00 TO KM. 491.08 (DESIGN KM 403.200 TO KM 454.240),NHIDCL,"NICOBAR
ISLANDS",6-2015,8/2023,-,437.39,-,574.56,96.95,RAILWAYS
146,N24000320,FOUR LANING OF JHANJHI JN TO DEMOW SECTION FROM KM. 491.050 TO KM. 535.250(DESIGN KM 490.800 TO KM 5,NHIDCL,"NICOBAR
ISLANDS",6-2015,3/2024,-,463.49,-,515.52,76.95,RAILWAYS
147,N24000431,4 LANING FROM JAMUGURI TO BISWANATH CHARIALI FROM KM 182 TO KM 208 OF NH- 52,NHIDCL,"NICOBAR
ISLANDS",1-1991,6/2019,Jun-2019,520.01,-,305.76,97.90,RAILWAYS
148,N24000438,4 LANING FROM RANGAGARA TO KALIABHOR TINALI FROM KM 297.00 TO KM 315.315 OF NH-37 ON EPC BASIS.,NHIDCL,"NICOBAR
ISLANDS",12-2015,12/2018,Jul-2021,289.99,-,233.23,88.03,RAILWAYS
149,N24000582,4 LANING OF NH-37 SECTION BETWEEN DEMOW TO END OF MORAN BYPASS (FROM KM. 534.800 TO KM. 561.700) O,NHIDCL,"NICOBAR
ISLANDS",1-2016,1/2016,-,294.17,-,389.75,97.88,RAILWAYS
150,N24000583,4 LANING OF NH 37 SECTION BETWEEN END OF MORAN BYPASS TO BOGIBEEL JUNCTION NEAR LAPETKETA (KM. 561,NHIDCL,"NICOBAR
ISLANDS",1-2016,12/2021,-,252.00,-,219.65,91.31,RAILWAYS
151,N24001246,4-LANING OF HAPACHARA - TULUNGIA SECTION,NHIDCL,"NICOBAR
ISLANDS",3-2020,12/2022,-,220.20,-,217.18,97.76,RAILWAYS
152,N24001269,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- IB),NHIDCL,"NICOBAR
ISLANDS",3-2020,3/2022,Jun-2025,216.49,241.52,111.59,85.83,RAILWAYS
153,N24001326,4-L DHUBRI PHULBARI BRIDGE WITH APPROACH ROAD,NHIDCL,"NICOBAR
ISLANDS",11-2020,9/2028,-,"4,997.04",-,"2,408.80",62.10,RAILWAYS
154,N24001331,2-LANING FROM YAINGANGPOKPI TO FINCH CORNER (PKG-I),NHIDCL,"NICOBAR
ISLANDS",3-2020,6/2022,May-2025,261.13,-,68.75,57.42,RAILWAYS
155,N24001332,2-LANING FROM YAINGANGPOKPI TO FINCH CORNER (PKG-II),NHIDCL,"NICOBAR
ISLANDS",3-2020,6/2022,Apr-2025,217.50,-,88.99,68.03,RAILWAYS
156,N24001366,DABOKA KATHKATI PACKAGE-5,NHIDCL,"NICOBAR
ISLANDS",3-2021,1/2023,-,288.85,-,247.76,100.00,RAILWAYS
157,N24001368,TULUNGIA-JOGIGHOPA-PAIKAN ROAD PKG- 7,NHIDCL,"NICOBAR
ISLANDS",3-2021,1/2024,-,286.72,-,158.15,81.63,RAILWAYS
158,N24001408,CONSTRUCTION OF 2-LANE MAJOR BRIDGE INCLUDING APPROACHESOVER BRAHMAPUTRA BETWEEN MAJULI ON NORTH BAN,MoRTH,"NICOBAR
ISLANDS",2-2021,7/2025,-,925.47,"1,019.17",192.50,30.65,RAILWAYS
159,N24001434,JOGIGHOPA BRIDGE,NHIDCL,"NICOBAR
ISLANDS",8-2021,11/2024,-,746.76,-,335.20,66.96,RAILWAYS
160,N24001450,DABOKA KATHKATI PACKAGE-6,NHIDCL,"NICOBAR
ISLANDS",9-2021,7/2024,-,625.64,-,556.44,100.00,RAILWAYS
161,N24001537,DABOKA KATHKATI PACKAGE-7,NHIDCL,"NICOBAR
ISLANDS",11-2021,7/2024,-,204.10,-,143.45,96.02,RAILWAYS
162,N24001544,FOUR LANING OF SRIRAMPUR-DHUBRI PKG- 2,NHIDCL,"NICOBAR
ISLANDS",3-2022,1/2025,-,909.02,-,532.44,98.92,RAILWAYS
163,N24001545,"6L STANDALONE FLYOVERS AT RAHA, DEMOW, BORGHAT, KATHIATALI JUNCTIONS AND ROB AT JAGIROAD ON STRETCHE",NHAI,"NICOBAR
ISLANDS",8-2022,12/2022,Sep-2024,175.00,-,200.80,100.00,RAILWAYS
164,N24001547,BALANCE WORK OF 4L OF NARIMBANGLO?JATINGA JUNCTION- HARANGAJO ROAD SECTION FROM KM 0.000 TO KM 49.23,NHAI,"NICOBAR
ISLANDS",3-2022,1/2026,-,"1,909.98",-,654.60,77.10,RAILWAYS
165,N24001548,"6L STANDALONE FLYOVERS AT BONGAIGAON, CHAPAGURI, PATHSALA, SIMLAGURI CHOWK AND BAIHATA BYPASS JUNCTI",NHAI,"NICOBAR
ISLANDS",3-2022,6/2024,-,457.72,-,366.34,100.00,RAILWAYS
166,N24001831,SRIRAMPUR - DHUBRI PKG-1,NHIDCL,"NICOBAR
ISLANDS",3-2022,2/2025,-,613.89,-,110.76,35.70,RAILWAYS
167,N24001832,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-3,NHIDCL,"NICOBAR
ISLANDS",1-2023,5/2025,-,458.59,-,198.15,65.62,RAILWAYS
168,N24001840,CONSTRUCTION OF MANGALDOI BYPASS (NH-15) STARTING AT CH 26+400 AND TERMINATING AT CH 41+505 UNDER RA,MoRTH,"NICOBAR
ISLANDS",3-2022,4/2025,-,535.03,-,102.23,34.15,RAILWAYS
169,N24001969,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) I,NHIDCL,"NICOBAR
ISLANDS",3-2023,8/2025,-,904.04,-,409.15,67.30,RAILWAYS
170,N24001970,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) IN,NHIDCL,"NICOBAR
ISLANDS",3-2023,8/2025,-,860.37,-,393.82,65.95,RAILWAYS
171,N24001971,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) IN,NHIDCL,"NICOBAR
ISLANDS",3-2023,8/2025,-,890.33,-,454.34,63.70,RAILWAYS
172,N24001972,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 0+800 (KANDULIJAN GAON) TO KM 27+701 (SI,NHIDCL,"NICOBAR
ISLANDS",3-2023,4/2026,-,609.16,-,305.73,94.97,RAILWAYS
173,N24001973,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 27+701 (SIMEN CHAPORI) TO KM 55+000 (NAG,NHIDCL,"NICOBAR
ISLANDS",3-2023,2/2026,-,562.05,-,290.20,95.71,RAILWAYS
174,N24002021,BILASIPURA-GUWAHATI ROAD PKG-8,NHIDCL,"NICOBAR
ISLANDS",3-2023,12/2026,-,"1,457.59",-,537.09,46.78,RAILWAYS
175,N24002022,BILASIPURA-GUWAHATI ROAD PKG-9,NHIDCL,"NICOBAR
ISLANDS",3-2023,6/2026,-,"1,000.27",-,304.61,27.07,RAILWAYS
176,N24002023,BILASIPURA-GUWAHATI ROAD PKG-10,NHIDCL,"NICOBAR
ISLANDS",3-2023,6/2026,-,"1,264.90",-,422.31,25.57,RAILWAYS
177,N24002024,DABOKA BYPASS OF DABOKA - PAROKHAOWA PKG -1,NHIDCL,"NICOBAR
ISLANDS",1-2023,11/2025,-,516.88,-,242.91,73.50,RAILWAYS
178,N24002025,2 LANE WITH PAVED SHOULDER FROM KM 16+900 (BOGAPANI) TO KM 27+150 (GOLAI GAON) ON EXISTING DIBRUGARH,NHIDCL,"NICOBAR
ISLANDS",1-2023,12/2025,-,356.65,-,129.18,16.28,RAILWAYS
179,N24002030,DEVELOPMENT OF EXTERNAL TRUNK CONNECTIVITY AND INTERNAL INFRASTRUCTURE WORKS AT MULTI MODEL LOGISTIC,NHIDCL,"NICOBAR
ISLANDS",2-2020,3/2022,-,592.06,-,308.87,100.00,RAILWAYS
180,N24002127,SILCHAR VAIRENGTE SAIRANG ROAD PKG- 1,NHIDCL,"NICOBAR
ISLANDS",2-2023,7/2026,-,"1,256.90",-,537.26,38.60,RAILWAYS
181,N24002128,SILCHAR VAIRENGTE SAIRANG ROAD PKG- 2,NHIDCL,"NICOBAR
ISLANDS",3-2023,8/2026,-,"1,716.21",-,983.58,64.03,RAILWAYS
182,N24002129,FOUR LANNING OF BADARPUR BYPASS FROM DESIGN CHAINAGE KM 27+300 AT CROSSING WITH NH-6,NHIDCL,"NICOBAR
ISLANDS",2-2023,8/2026,-,574.26,-,297.50,54.88,RAILWAYS
183,N24002130,TAMENGLONG- MAHUR ROAD PKG-7,NHIDCL,"NICOBAR
ISLANDS",12-2023,3/2026,-,846.82,-,404.51,68.80,RAILWAYS
184,N24002154,CONSTRUCTION OF 4-LANE PANCHGRAM BYPASS FROM DESIGN CHAINAGE KM 15+500 ON NH-37 (OLD NH-53) AT KALIN,NHIDCL,"NICOBAR
ISLANDS",3-2023,2/2027,-,728.97,-,279.87,42.68,RAILWAYS
185,N24002155,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 55+000 (NAGABANG GAMSUK) TO KM 82+514 (OY,NHIDCL,"NICOBAR
ISLANDS",3-2023,3/2027,-,665.47,-,183.63,45.53,RAILWAYS
186,N24002225,BILASIPURA- GUWAHATI ROAD PKG-1,NHIDCL,"NICOBAR
ISLANDS",2-2024,8/2027,-,"1,081.15",-,33.93,2.76,RAILWAYS
187,N24002226,SILCHAR-JIRIBAM PKG-1,NHIDCL,"NICOBAR
ISLANDS",1-2024,1/2028,-,957.95,-,0.00,16.25,RAILWAYS
188,N24002229,BILASIPURA- GUWAHATI ROAD PKG-2,NHIDCL,"NICOBAR
ISLANDS",11-2023,6/2027,-,"1,338.61",-,0.50,N.A.,RAILWAYS
189,N24002230,BADARPUR ? CHURAIBARI PKG-6,NHIDCL,"NICOBAR
ISLANDS",3-2024,3/2027,-,870.00,-,0.00,N.A.,RAILWAYS
190,N24002231,KARIMGANI - SUTARKANDI SECTION ON SILCHAR-CHURAIBARI PKG-7,NHIDCL,"NICOBAR
ISLANDS",2-2024,2/2027,-,791.79,-,0.00,N.A.,RAILWAYS
191,N24002237,CONSTRUCTION OF 4 LANE GAURIPUR BYPASS ON NH-17 IN THE STATE OF ASSAM,MoRTH,"NICOBAR
ISLANDS",3-2024,10/2026,-,421.15,-,0.00,N.A.,RAILWAYS
192,N24002238,CONSTRUCTION OF 2 LANE BARPETA BYPASS FROM KM 77+900(BARADI) TO KM 86+150( DEURIKUCHI) (LENGTH=8.25K,MoRTH,"NICOBAR
ISLANDS",3-2023,8/2026,-,173.65,-,0.00,N.A.,RAILWAYS
193,N24002243,SILCHAR- CHURAIBARI PKG-5,NHIDCL,"NICOBAR
ISLANDS",2-2024,10/2027,-,"1,258.13",-,0.00,N.A.,RAILWAYS
194,N04000082,"CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES, PHASE I AND II",AAI,"NICOBAR
ISLANDS",5-2018,10/2022,Jun-2025,"1,216.90",-,"1,008.79",89.66,"CIVIL
AVIATION"
195,N04000112,"DARBHANGA:DEVELOPMENT OF NEW CIVIL ENCLAVE AT DARBHANGA, BIHAR. SH- CONSTRUCTION OF NEW TERMINAL BUI",AAI,"NICOBAR
ISLANDS",7-2024,7/2026,-,911.66,-,122.51,18.00,"CIVIL
AVIATION"
196,N28000100,CONSTRUCTION OF ACADEMIC AND RESIDENTIAL COMPLEX UNDER PHASE-II FOR THE CAMPUS OF IIT PATNA,CPWD EDUCATION,"NICOBAR
ISLANDS",2-2016,6/2017,-,496.18,496.00,390.15,100.00,DEPARTMENT
197,N42000009,PERMANENT CAMPUS FOR IIM BODH GAYA,CPWD EDUCATION,"NICOBAR
ISLANDS",9-2018,9/2020,-,375.00,-,342.18,100.00,"OF HIGHER
EDUCATION"
198,N16000386,BARAUNI REFINERY CAPACITY EXPANSION FROM 6.0 TO 9.0 MMTPA,IOCL,"NICOBAR
ISLANDS",1-2020,4/2023,Aug-2026,"14,810.00","18,113.00","10,898.63",85.70,"OF HIGHER
EDUCATION"
199,N16000423,"CGD PROJECT AT KHAGARIA, SAHARSA AND MADHEPURA",IOCL,"NICOBAR
ISLANDS",6-2019,12/2029,Mar-2030,163.00,-,95.19,40.10,"OF HIGHER
EDUCATION"
200,N16000453,INSTALLATION OF BITUMEN MANUFACTURING UNIT ALONG WITH ALLIED FACILITIES AT BARAUNI,IOCL,"NICOBAR
ISLANDS",1-2022,4/2025,-,389.00,-,36.61,33.70,"OF HIGHER
EDUCATION"
201,N16000523,CITY GAS DISTRIBUTION PROJECTS AT GOPALGANJ SIWAN WEST CHAMPARAN EAST CHAMPARAN AND DEORIA DISTRICTS,BPCL,"NICOBAR
ISLANDS",12-2022,6/2030,-,"3,919.00",-,376.96,13.30,"OF HIGHER
EDUCATION"
202,N16000524,"CITY GAS DISTRIBUTION PROJECTS AT DARBHANGA, MADHUBANI, SUPAUL, SITAMARHI AND SHEOHAR DISTRICTS",BPCL,"NICOBAR
ISLANDS",12-2022,3/2030,-,"3,638.00",-,381.17,19.70,"OF HIGHER
EDUCATION"
203,180100242,BARH STPP(3X660MW) NTPC,NTPC,"NICOBAR
ISLANDS",2-2005,10/2011,Jul-2023,"8,692.97","21,312.11","22,290.14",95.00,POWER
204,N18000194,BUXAR THERMAL POWER PLANT (1320 MW),SJVN,"NICOBAR
ISLANDS",3-2019,1/2024,-,"10,439.09",-,"11,676.00",90.92,POWER
205,N18000421,EASTERN REGION EXPANSION SCHEME: 43 [ERES: 43],PGCIL,"NICOBAR
ISLANDS",5-2025,5/2026,-,343.00,-,0.00,N.A.,POWER
206,N18000422,EASTERN REGION EXPANSION SCHEME: 44 [ERES: 44],PGCIL,"NICOBAR
ISLANDS",5-2025,5/2026,-,409.00,-,0.00,N.A.,POWER
207,220100257,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),ECR,"NICOBAR
ISLANDS",4-1997,12/2024,-,614.45,614.45,483.35,52.00,POWER
208,220100303,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",ECR,"NICOBAR
ISLANDS",4-2003,12/2014,-,"2,066.78","2,087.36","2,334.96",73.00,POWER
209,N22000087,"NEW B.G. LINE FROM ARARIA TO GALGALIA (THAKURGUNG), NEFR",NFR,"NICOBAR
ISLANDS",9-2006,12/2024,-,"2,650.00","2,132.03","3,917.04",90.00,POWER
210,N22000171,SAKRI-HASANPUR ROAD (NL),ECR,"NICOBAR
ISLANDS",4-1999,(N.A.),-,325.00,735.20,603.44,78.00,POWER
211,N22000177,ARARIA-SUPAUL (NL),ECR,"NICOBAR
ISLANDS",4-2008,3/2024,-,"1,605.17","1,605.17","1,697.58",65.00,POWER
212,N22000181,JAYNAGAR-BIJALPURA INCLUDING EXTENSION BIJALPURA-BARDIBAS(NEPAL) GC,ECR,"NICOBAR
ISLANDS",4-2009,3/2022,-,819.00,548.00,544.31,75.00,POWER
213,N22000329,SAMASTIPUR-DARBANGHA,ECR,"NICOBAR
ISLANDS",5-2015,3/2025,-,519.33,519.33,640.68,80.00,POWER
214,N22000349,KIUL - GAYA DOUBLING PROJECT,ECR,"NICOBAR
ISLANDS",12-2015,9/2024,-,"2,462.11","1,200.20","1,866.29",99.00,POWER
215,N22000350,RAMPUR DUMRA - TAL - RAJENDRAPUL DOUBLING INCLUDING GANGA BRIDGE,ECR,"NICOBAR
ISLANDS",12-2015,12/2024,-,"2,373.64","1,491.47","1,763.21",77.00,POWER
216,N22000472,SAGAULI VALMIKINAGAR DOUBLING 109.7 KM,ECR,"NICOBAR
ISLANDS",4-2016,12/2024,-,"1,215.54","1,215.54","1,577.26",91.00,POWER
217,N22000473,MUZAFFARPUR SAGAULI DOUBLING 100.60 KM,ECR,"NICOBAR
ISLANDS",4-2016,6/2024,-,"1,586.22","1,185.73","1,477.91",96.00,POWER
218,N22000476,"FATUHA-ISLAMPUR INCL. MM FOR EXTENSION OF NEW LINE FORM BIHARSHARIF-BARBIGHA, DANIYAWAN- BIHARSHARIF,",ECR,"NICOBAR
ISLANDS",4-1991,3/2023,-,"1,473.30",803.09,"2,786.29",90.00,POWER
219,N22000524,BARAUNI- BACHWARA 3RD AND 4TH LINE,ECR,"NICOBAR
ISLANDS",7-2022,7/2027,-,486.00,-,128.43,33.00,POWER
220,N22000526,JHAJHA - BATIA (UMBRELLA WORK PB#23/2018-19/NR),ECR,"NICOBAR
ISLANDS",2-2019,6/2028,-,496.47,-,22.53,N.A.,POWER
221,N22000528,SONENAGAR BYE PASS LINE FROM CHIRALAPOTHU TO BAGHA BISHUNPUR,ECR,"NICOBAR
ISLANDS",10-2022,10/2027,-,234.00,223.69,22.57,N.A.,POWER
222,N22000570,KATIHAR-KUMEDPUR AND KATIHAR- MUKURIA (64.5 KM) (UMBRELLA WORK PB#57/2019-20/NR),NFR,"NICOBAR
ISLANDS",8-2022,8/2027,-,745.00,-,336.83,35.00,POWER
223,N24000165,PATNA-MUZZAFFARPUR,NHAI,"NICOBAR
ISLANDS",8-2010,2/2013,-,671.30,-,"1,830.13",98.87,POWER
224,N24000187,4-LANNING OF CHAPRA-HAJIPUR,NHAI,"NICOBAR
ISLANDS",1-2011,7/2013,Jan-2026,575.00,-,573.48,89.81,POWER
225,N24000382,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED SHOULDERS CONFIGURATION OF BIRPUR - BIHPUR,MoRTH,"NICOBAR
ISLANDS",1-2014,10/2019,Jun-2025,675.00,-,764.69,96.00,POWER
226,N24000480,FOUR OF SIMARIA - KHAGARIA SECTION OF NH-31,NHAI,"NICOBAR
ISLANDS",12-2015,4/2019,Mar-2025,"1,041.10",567.00,553.73,97.58,POWER
227,N24000507,FOUR LANING OF BAKHTIYARPUR - MOKAMA SECTION OF NH-31,NHAI,"NICOBAR
ISLANDS",12-2015,12/2019,-,"1,167.45",-,753.72,99.43,POWER
228,N24000531,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED SHOULDERS (KM 40 TO KM 219.945) OF NH-104,MoRTH,"NICOBAR
ISLANDS",2-2016,11/2018,-,319.68,-,453.00,99.00,POWER
229,N24000576,CONSTRUCTION OF REHABILITATION AND UPGRADING TO 2 LANES/2 LANE(FOR LOT-I- KM 40.00 TO KM 65.400 AND K,MoRTH,"NICOBAR
ISLANDS",2-2016,5/2016,-,178.85,-,232.61,98.00,POWER
230,N24000578,"PROCUREMENT, AND CONSTRUCTION OF REHABILITATION AND UPGRADING TO 2 LANES/2 LANE(FOR LOT-III-KM 156.5",MoRTH,"NICOBAR
ISLANDS",2-2016,5/2016,-,553.30,-,712.38,98.00,POWER
231,N24000579,FOUR LANING OF GAYA-HISUA-RAJGIRI- NALANDA-BIHARSHARIF SECTION (KM0.00 TO 92.935) ON NH-82 IN BIHAR,MoRTH,"NICOBAR
ISLANDS",1-2014,10/2016,Jun-2025,"1,408.85",-,"1,738.55",97.00,POWER
232,N24000665,TWO-LANNING WITH PAVED SHOULDER OF MAHSHKUNT-SAHARSA-PURNEA SECTION FROM EXISTING KM.89.020 (DESIGN,NHAI,"NICOBAR
ISLANDS",3-2017,3/2020,Dec-2025,672.89,893.92,714.74,86.71,POWER
233,N24000696,SIX LANNING OF AUNTA-SIMARIA(GANGA BRIDGE WITH APPROACH ROADS) SECTION OF NH-31,NHAI,"NICOBAR
ISLANDS",8-2017,2/2022,Oct-2024,950.64,"1,161.00","1,156.29",99.53,POWER
234,N24000714,CONSTRUCTION OF NEW LINK (NH-133B) FROM KM 0/00 (KM 200/87 OF SAHIBANJ BYPASS) IN JHARKHAND TO KM 15,NHAI,"NICOBAR
ISLANDS",12-2017,10/2024,Apr-2025,"2,598.00",-,"1,410.14",77.46,POWER
235,N24000723,REHABILITATION AND UPGRADATION OF TWO LANING OF MAHESHKHUNT - SAHARSA - PURNEA SECTION PKG - I,NHAI,"NICOBAR
ISLANDS",1-2018,12/2021,Aug-2025,573.70,644.50,492.33,82.27,POWER
236,N24000813,DEVELOPMENT OF NEWLY DECLARED NH- 527C FROM MAJHAULI TO CHAROUT SECTION TO 2 LANE WITH PAVED SHOULDER,NHAI,"NICOBAR
ISLANDS",3-2018,11/2021,Dec-2024,496.20,470.18,399.41,98.25,POWER
237,N24000943,CONSTRUCTION OF A NEW 4 LANE MAJOR BRIDGE ACROSS RIVER KOSI AT PHULAUT INCLUDING RHABILITATION AND,MoRTH,"NICOBAR
ISLANDS",9-2018,6/2024,May-2026,"1,478.40",-,941.27,70.00,POWER
238,N24001201,CONSTRUCTION OF A NEW 4 LANE BRIDGE PARALLEL TO EXISTING MG SETU WITH ITS APPROACHES FROM KM 0.00,MoRTH,"NICOBAR
ISLANDS",2-2019,9/2024,-,"2,926.42",-,"1,300.42",56.00,POWER
