Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),AUG25 progress (%),Sector
691,611849,Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli Gauge Conversion [152 Km],(North Western Railway [NWR]),Rajasthan,01/2023,01/2023,06/2028,06/2028,968.92,968.92,98.62,51,Cumulative
692,611929,Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions under WTA 527,(WPO/Patna),Rajasthan,NA,06/2023,12/2024,-,166.86,166.86,0,0,Cumulative
693,616696,RINGUS KHATUSHYAMJI NEW LINE,(North Western Railway [NWR]),Rajasthan,03/2024,03/2024,03/2028,-,254.06,254.06,2.94,0,Cumulative
694,616840,RAS- MERTA CITY NEW LINE INCL BYPASS AT MERTA ROAD,(North Western Railway [NWR]),Rajasthan,NA,02/2024,03/2028,-,947,947,1.36,0,Cumulative
695,616841,PUSHKAR- MERTA CITY NEW LINE,(North Western Railway [NWR]),Rajasthan,02/2024,02/2024,12/2026,-,799.64,799.64,14.5,4,Cumulative
696,616843,AJMER- CHANDERIYA DOUBLING,(North Western Railway [NWR]),Rajasthan,02/2024,02/2024,06/2027,-,1634.79,1634.79,74.43,6,Cumulative
697,705482,Dholpur - Sirmuttra Gauge Conversion,(North Central Railway),Rajasthan,03/2022,04/2020,02/2019,02/2027,747,747,355.13,43,Cumulative
698,705752,Gudha-Thatha Mithri Construction of Railway Track Project,(North Western Railway [NWR]),Rajasthan,04/2019,04/2019,11/2026,11/2026,819.48,967.06,471,98,Cumulative
699,705912,Sawai Madhopur-Jaipur Railway Line Project,(North Western Railway [NWR]),Rajasthan,NA,04/2023,03/2027,-,1203.89,1203.89,46.07,7,Cumulative
700,705919,Agra Fort-Bandikui Doubling Line Project,(CAO/C/NCR),Rajasthan,06/2022,02/2021,06/2027,06/2027,1390,1390,123,25,Cumulative
701,706866,Sawaimadhopur Bye Pass Line Project,(North Western Railway [NWR]),Rajasthan,12/2022,01/2023,03/2026,05/2027,304,304,43.07,44,Cumulative
702,400280,Ph II extension of MRTS from Velachery to St Thomas Mount,(Southern Railways [SR] - construction),Tamil Nadu,11/2007,11/2008,07/2024,08/2025,734,982,475.73,99,Cumulative
703,613002,Redevelopment of Chennai Egmore Station,(Railway),Tamil Nadu,NA,10/2022,03/2026,-,842,842,340,0,Cumulative
704,705244,Coach Production Factory Upgradation Project,(CPM/ICF),Tamil Nadu,NA,07/2018,12/2021,-,520,520,192.25,0,Cumulative
705,705755,Morappur - Dharmpuri New Railway Line Project,(Southern Railway [SR] - I),Tamil Nadu,05/2019,12/2016,03/2028,03/2028,359,359,40,1,Cumulative
706,616856,Doubling between Bhadrachalam Road and Dornakal,(South Central Railway [SCR] - II),Telangana,NA,04/2025,04/2029,-,770.12,770.12,0,0,Cumulative
707,705252,Kazipet Wagon Overhauling Project,(RVNL),Telangana,NA,07/2017,12/2023,-,385,385,0,0,Cumulative
708,705437,Manoharabad-Kothapalli New Rail Line [151 km],(South Central Railway [SCR] - II),Telangana,07/2016,01/2017,03/2027,12/2027,1160,2781,1771.32,71,Cumulative
709,400204,Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar,(North Eastern Railway [NER]),Uttar Pradesh,10/2018,03/2017,10/2030,10/2030,4939.78,4939.78,1232.64,8,Cumulative
710,400205,Sahjanwa-Dohrighat,(North Eastern Railway [NER]),Uttar Pradesh,08/2019,03/2017,03/2029,03/2029,1319.75,1319.75,460.2,3,Cumulative
711,617252,Anandnagar - Ghugli via Maharajganj New line 52.7 km,(Construction NER),Uttar Pradesh,10/2023,11/2023,03/2028,-,958.27,958.27,436.95,23,Cumulative
712,617284,Chunar-Chopan doubling project,(North Central Railway),Uttar Pradesh,08/2023,01/2025,03/2028,-,1423.96,1423.96,49.57,2,Cumulative
713,705566,Domingarh-Gorakhpur-Gorakhpur Cantt.-Kusumhi - 3rd Railway Line Project,(North Eastern Railway [NER]),Uttar Pradesh,11/2016,06/2018,02/2025,09/2025,351,521.47,495.86,98,Cumulative
714,705567,Burhwal Gonda 3rd line,(North Eastern Railway [NER]),Uttar Pradesh,11/2017,07/2019,03/2025,09/2025,1016,1118,1373.8,73,Cumulative
715,705588,Janghai-Pratapgarh- Amethi,(CAO/C/II/NR),Uttar Pradesh,11/2017,03/2017,03/2025,03/2026,722,1194,1550,70,Cumulative
716,705766,Lalitpur-Birari with flyover at Lalitpur- 16 Km,(North Central Railway),Uttar Pradesh,03/2017,03/2017,12/2024,11/2025,304.44,356,220.8,72,Cumulative
717,705771,Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project,(North Central Railway),Uttar Pradesh,04/2019,10/2020,03/2026,03/2026,494,494,333,70,Cumulative
718,705772,"Mughalsarai-Allahabad, 3rd line",(North Central Railway),Uttar Pradesh,12/2015,03/2016,12/2026,03/2027,2649,2649.44,1561.89,62,Cumulative
719,705774,Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project,(CAO/C/NCR),Uttar Pradesh,04/2019,09/2020,01/2025,03/2027,758,779.49,315.37,55,Cumulative
720,705777,Bhandai - Flyover for Etawah bound down train- 10 Km,(North Central Railway (NCR) - II),Uttar Pradesh,07/2020,04/2021,02/2026,02/2027,250.18,250.18,113.94,3,Cumulative
721,705779,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau",(South Eastern Railway [SER] - I),Uttar Pradesh,05/2017,03/2017,12/2024,03/2026,1178,1777,1489.5,85,Cumulative
722,705780,Bhatni-Aurnihar with electrification excluding Indara-Mau,(RVNL - II),Uttar Pradesh,03/2018,03/2017,12/2024,10/2025,2529,2529.46,2051.69,94,Cumulative
723,705782,Barabanki-Malhaur 3rd & 4th Railway Line Project,(CAO/C/NR),Uttar Pradesh,01/2019,04/2017,03/2025,03/2026,407,407,317,75,Cumulative
724,705784,Janghai-Phaphamau Doubling Rail Line Project,(RVNL),Uttar Pradesh,11/2018,03/2020,03/2025,03/2025,357,978.77,579,95,Cumulative
725,705863,Bahraich - Nanpara - Nepalganj Road Gauge Conversion,(North Eastern Railway [NER]),Uttar Pradesh,07/2020,04/2021,07/2025,09/2025,950,550,511.18,90,Cumulative
726,705918,Allahabad division - Aligarh - Harduaganj Flyover,(North Central Railway),Uttar Pradesh,04/2020,02/2021,06/2026,03/2027,1457,1457,50,14,Cumulative
727,900872,DOUBLING BETWEEN JAUNPUR JN-ZAFFARABAD [6.28 KM],(Northen Railway [NR]),Uttar Pradesh,01/2023,,01/2027,12/2028,177,177,41,10,Cumulative
728,705429,Rishikesh-Karnaprayag New Rail Line- 125 km,(RVNL - II),Uttarakhand,11/2016,08/2018,12/2025,03/2027,38953,38953,24645.15,65,Cumulative
729,400247,Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line And Naihati-Ranaghat 3rd Line.,(Eastern Railway [ER] - I),West Bengal,07/2015,11/2005,02/2027,02/2027,1000,1000,1031.21,67,Cumulative
730,400273,Tarakeshwar-Bishnupur New Line [82.47 km],(Eastern Railway [ER] - I),West Bengal,03/2001,02/2008,03/2019,02/2026,1189,1542,1307.52,90,Cumulative
731,400277,Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway,(RVNL - II),West Bengal,03/2010,10/2011,12/2025,03/2026,8964,8964,8097.47,80,Cumulative
732,612096,Construction of Balurghat-Hilli new BG Line,(Northeast Frontier Railway [NFR]),West Bengal,12/2010,12/2010,03/2027,03/2025,1209,1209,405.31,9,Cumulative
733,617322,Kalipahari Bakhtarnagar 5th line,(Eastern Railway [ER] - I),West Bengal,08/2024,07/2025,06/2027,06/2027,350.46,350.46,0,0,Cumulative
734,705730,Joka-BBD Bag new metro project,(RVNL - II),West Bengal,03/2010,04/2010,12/2026,12/2028,4835,10362,4373.24,60,Cumulative
735,706776,Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km],"(Metro Railway, Kolkata)",West Bengal,11/2010,03/2010,08/2026,03/2029,4830,4830,2764.13,32,Cumulative
736,706777,Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway,(RVNL - II),West Bengal,03/2010,03/2010,12/2026,12/2025,2298,2734,393,17,Cumulative
737,701658,Krishnapatnam Node - Phase 1 - Roads and Services Development,(National Industrial Corridor Development Corporation),Andhra Pradesh,12/2020,02/2024,02/2028,-,2139.44,2139.44,406.05,17,Real Estate
738,701657,Tumakuru Node - Phase 1 - Roads and Services Development,(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL]),Karnataka,12/2020,02/2023,09/2026,-,1701.81,1701.81,88.25,8,Real Estate
739,709859,SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE OF COMMUNICATION FINANCE [NICF] AT GHITORNI,(National Communication Academy - Finance (Erstwhile NICF)),Delhi,10/2014,04/2018,02/2020,10/2025,248.2,248.2,236.91,98,Telecommunication
740,701598,Provision of 4G based Mobile Services in Uncovered Villages and National Highways of Meghalaya,(Department of Telecommunications [DoT]),Meghalaya,09/2019,09/2020,03/2022,09/2025,971.96,971.96,208.25,99,Cumulative
741,701599,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2,(Department of Telecommunications [DoT]),"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",NA,09/2021,03/2023,11/2025,1577.57,1577.57,598.31,87,Cumulative
742,701602,"Provision of 4G based mobile services in 7,287 uncovered villages of 44 Aspirational District across 5 states of Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra & Odisha",(Department of Telecommunications [DoT]),"Multi-States (Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra, Odisha)",11/2021,05/2022,11/2023,11/2025,3685,3685,1101.44,79,Cumulative
743,701597,Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and 2 Districts of Assam,(Department of Telecommunications [DoT]),"Multi-States (Arunachal Pradesh, Assam)",12/2020,10/2021,04/2023,09/2025,1255.49,1255.49,284.04,89,Cumulative
744,701600,354 Uncovered Villages Scheme,(Department of Telecommunications [DoT]),"Multi-States (Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Ladakh, Rajasthan, Uttar Pradesh)",12/2019,04/2020,10/2021,08/2025,336.89,301.13,227.82,97,Cumulative
745,704495,"502 Aspirational District Scheme in Four states - Bihar, Madhya Pradesh, Rajastha and Uttar Pradesh",(Department of Telecommunications [DoT]),"Multi-States (Bihar, Madhya Pradesh, Rajasthan, Uttar Pradesh)",NA,03/2021,03/2022,12/2025,421.65,228.94,134.08,96,Cumulative
746,709749,PHASE-I OF CONSOLIDATION OF EXISTING CDR DATA CENTERS AND NIB-P3 DATA CENTERS WITH STATE OF THE ART,(BSNL),"Multi-States (Maharashtra, Telangana)",NA,03/2020,06/2021,12/2025,461.42,461.42,166.02,81,Cumulative
747,400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,(Department of Telecommunications [DoT]),PAN India,07/2022,07/2022,06/2024,03/2026,26316,30620,9791.8,73,Cumulative
748,701593,4G Services by BSNL,(Department of Telecommunications [DoT]),PAN India,11/2020,11/2020,03/2024,03/2026,28466,19592,8390.32,96,Cumulative
749,706775,BharatNet,(Department of Telecommunications [DoT]),PAN India,07/2017,10/2011,08/2023,03/2027,61109,188000,41486.14,81,Cumulative
750,709856,MPLS-IP BASED ACCESS AND AGGREGATION NETWORK [MAAN] IN BSNL ALONG WITH TEST AND MEASURING EQUIPMENT,(BSNL),PAN India,NA,05/2023,08/2024,10/2025,645.13,645.13,364.34,91,Cumulative
751,709857,"Planning, Engineering, Supply, Installation, Testing, Commissioning, Integration & Annual Maintenance of 4G mobile network at 1 Lakh sites on PAN India basis including Mumbai & Delhi LSA on turnkey basis under Phase IX.2 Project.",(BSNL),PAN India,NA,06/2023,06/2025,03/2026,24544.55,24544.5,8391.17,96,Cumulative
752,709858,OPTICAL TRANSPORT NETWORK [OTN] PH-4 IN BSNL,(BSNL),PAN India,NA,02/2024,08/2025,10/2025,810.99,810.99,741.9,100,Cumulative
753,616600,Interception and Diversion and STP works in Bhagalpur  under Hybrid annuity based PPP mode-Namami Gange Programme,(National Mission for Clean Ganga),Bihar,10/2017,03/2022,02/2025,12/2025,413.29,413.29,126.67,97,Waste & Water
754,616611,Sewage Treatment Plant  100MLD  and Sewerage Network 288 km in Digha-Patna under Hybrid annuity based PPP mode-Namami Gange Programme,(National Mission for Clean Ganga),Bihar,08/2017,07/2019,12/2025,-,824,824,396.71,56,Waste & Water
755,616612,Sewage Treatment Plant  50MLD  and Sewerage Network 150 km in Kankarbagh- Patna under Hybrid annuity based PPP mode-Namami Gange Programme,(National Mission for Clean Ganga),Bihar,08/2017,07/2019,12/2025,-,578.89,578.89,171.79,54,Waste & Water
756,616615,"Sewer Network,  SPS and STP at Begusarai",(National Mission for Clean Ganga),Bihar,03/2010,03/2018,04/2025,12/2025,230.06,230.06,261.82,97,Waste & Water
757,616616,"Sewer Networks,  SPS and STP at Hajipur",(National Mission for Clean Ganga),Bihar,03/2010,03/2018,06/2025,12/2025,305.19,305.19,346.46,95,Waste & Water
758,616594,Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid annuity based PPP model-Namami Gange Programme,(National Mission for Clean Ganga),Uttar Pradesh,05/2020,04/2023,04/2025,12/2025,842.25,842.25,208.64,73,Waste & Water
759,616605,Pollution Abatement Works for River Kali Meerut under Meerut Municipality Interception & Diversion with  STP,(National Mission for Clean Ganga),Uttar Pradesh,05/2020,11/2024,12/2024,05/2027,690.71,690.71,34.79,27,Waste & Water
760,616604,Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town Interception & Diversion with STP,(National Mission for Clean Ganga),West Bengal,05/2018,12/2021,03/2025,12/2025,154.73,154.73,96.17,92,Waste & Water
761,400100,Sardar Gouthu Latchanna Thotapalli Barrage Project,(Water Resources-AP),Andhra Pradesh,NA,01/2006,12/2019,06/2026,353.05,1023.24,869.11,95,Water Resources
762,400101,Gundlakamma project,(Water Resources-AP),Andhra Pradesh,NA,04/2005,12/2019,03/2027,397.41,697.39,610.89,98,Water Resources
763,701415,Polavaram Irrigation Project,(Water Resources-AP),Andhra Pradesh,02/2009,11/2004,04/2022,03/2026,10151.04,55548.9,24347.76,83,Water Resources
764,701370,Borolia Irrigation Project,"(Department of Water Resources, River Development & GR)",Assam,NA,12/1996,12/2022,03/2026,256.16,256.16,0,55,Water Resources
765,400104,Punpun Barrage Project,(Water Resources-BR),Bihar,NA,04/2007,12/2019,03/2026,571.07,658.12,469.66,44,Water Resources
766,701371,Durgawati Reservoir Project,(Irrigation and CAD-TG),Bihar,NA,04/1997,12/2019,12/2024,691.15,971.96,978.51,87,Water Resources
767,400111,Kelo Irrigation Project,(Water Resources-CT),Chhattisgarh,NA,04/2008,12/2019,06/2026,459.97,727.04,616.93,71,Water Resources
768,701399,Kudali Irrigation Project,"(Department of Water Resources, River Development & GR)",Chhattisgarh,NA,12/2009,12/2025,-,382.29,382.29,0,86,Water Resources
769,400097,Sardar Sarovar CADWM Project,"(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)",Gujarat,NA,04/2004,12/2019,03/2025,5021.76,6670.31,4954.99,90.3,Water Resources
770,701372,Sardar Sarovar Project,"(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)",Gujarat,NA,04/1996,12/2019,12/2025,20718.17,33412.5,31767.59,93,Water Resources
771,701376,"Subernarekha   Multipurpose Project, Jharkhand",(Department of Water Resources-JH),Jharkhand,NA,01/2012,12/2019,03/2026,3807.77,9579.58,5561.97,69,Water Resources
772,701377,Upper Tunga Irrigation Project,(Water Resources-KA),Karnataka,NA,04/2014,12/2019,12/2025,770.16,1606.07,1511.22,99,Water Resources
773,400096,Omkareshwar CADWM Project,(Water resource-mp),Madhya Pradesh,NA,04/2015,12/2019,03/2026,648.09,648.09,172.56,3,Water Resources
774,400115,Bargi Diversion Project Phase - IV [km. 154 to km 197],(Water Resources-MP),Madhya Pradesh,NA,01/2009,12/2019,03/2025,751.03,893.35,746.19,75,Water Resources
775,400116,Bargi Diversion Project Phase - III [km. 104 to km 154],(Water Resources-MP),Madhya Pradesh,NA,04/2007,12/2019,12/2025,1229.15,1399.7,1807.2,79,Water Resources
776,400095,Gosikhurd CADWM Project,(Department of water resources-MH - II),Maharashtra,04/2017,04/2017,12/2019,06/2026,743.73,743.73,252,50,Water Resources
777,400105,Urmodi Irrigation Project,(Department of water resources-MH - II),Maharashtra,NA,04/2018,06/2022,12/2026,580.79,895.81,713.46,76,Water Resources
778,400107,Sulwade-Jamphal-Kanoli Lift Irrigation Scheme,(Department of water resources-MH - II),Maharashtra,NA,02/2019,06/2023,06/2027,2407.67,2407.67,2436.43,80,Water Resources
779,400109,Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project,(Department of water resources-MH - II),Maharashtra,NA,04/2018,06/2020,06/2026,848.07,888.43,690.49,69,Water Resources
780,400112,Jigaon Irrigation Project,(Department of water resources-MH - II),Maharashtra,NA,04/2018,06/2028,-,7222.95,7222.95,8501.45,90,Water Resources
781,701383,Waghur Project,(Department of water resources-MH - II),Maharashtra,NA,04/1996,12/2019,03/2026,1058.99,1758.51,1530.45,89,Water Resources
782,701386,Gosikhurd Project,(Department of water resources-MH - II),Maharashtra,12/2017,04/2008,12/2019,06/2026,7196.47,12770.1,13533.29,72,Water Resources
783,701391,Aruna Medium Irrigation Project,(Department of water resources-MH - II),Maharashtra,NA,01/2010,12/2019,12/2025,210.45,1472.14,1697.94,97,Water Resources
784,701396,Lower Pedhi Project,(Department of water resources-MH - II),Maharashtra,NA,04/2008,12/2019,06/2026,255.97,1480.7,1324.78,64,Water Resources
785,701398,Nardave Medium Irrigation Project,(Department of water resources-MH - II),Maharashtra,NA,04/2009,12/2019,06/2026,211.46,781.85,623.5,72,Water Resources
786,701400,Thoubal Multipurpose Project,(Water Resources Department-MN),Manipur,01/2022,04/1997,12/2019,03/2026,1449.44,1822.24,1837.91,98,Water Resources
787,701412,North Koel Reservoir Project,"(Department of Water Resources, River Development & GR)","Multi-States (Bihar, Jharkhand)",NA,01/2021,03/2021,03/2026,1622.27,2430.76,142.1,32,Water Resources
788,603945,Integrated Anandpur Barrage Project,(Water Resources-OR),Odisha,NA,01/1998,12/2019,06/2026,567.03,2990.05,2629.74,62,Water Resources
789,701404,Kanupur Irrigation Project,(Irrigation and CAD-TG),Odisha,NA,01/2004,12/2019,12/2024,989.43,2301.28,2563.56,79,Water Resources
790,701410,Relining of  Rajasthan feeder and Sirhind Feeder canal,(Department of Water Resources-PB),Punjab,02/2016,04/2018,06/2021,06/2026,1441.26,2462.16,3000.36,80,Water Resources
791,701411,Shahpur Kandi Dam Project,(Department of Water Resources-PB),Punjab,02/2010,04/2018,06/2022,10/2025,2285.81,2715.7,2072.33,80,Cumulative
792,400102,Sri Ram Sagar Project Stage - II,(Irrigation and CAD-TG),Telangana,NA,04/2005,12/2019,03/2026,736.13,949.87,940.7,96,Cumulative
793,400103,Indiramma Flood Flow Canal Project,(Irrigation and CAD-TG),Telangana,NA,01/2006,12/2019,12/2026,1331.3,5940.09,4491.08,92,Cumulative
794,701405,J. Chokka Rao Devadula Lift Irrigation Scheme,(Irrigation and CAD-TG),Telangana,NA,04/2006,12/2019,12/2025,8200.71,14730,4558.89,87,Cumulative
795,701406,Rajiv Bhima Lift Irrigation Scheme,(Irrigation and CAD-TG),Telangana,NA,01/2008,12/2019,03/2026,1402,2509.66,1839.76,100,Cumulative
796,400093,Saryu Nahar CADWM Project,(Irrigation & Water Resources-UP),Uttar Pradesh,NA,04/2017,12/2019,03/2026,1672.7,1672.7,0,0,Cumulative
797,400117,Arjun Sahayak Project,(Irrigation & Water Resources-UP),Uttar Pradesh,NA,04/2009,12/2019,12/2019,741.38,2465.68,3218.3,100,Cumulative
798,701395,Morna [Gureghar] Irrigation Project,"(Department of Water Resources, River Development & GR)",Uttar Pradesh,NA,12/2007,12/2025,-,219.9,219.9,0,0,Cumulative
799,701408,Madhya Ganga canal Phase-II,(Irrigation & Water Resources-UP),Uttar Pradesh,NA,07/2007,12/2019,12/2025,1060.67,4417.21,4415.24,82,Cumulative
800,613787,Jamrani Dam Multipurpose Project,(Irrigation-UK),Uttarakhand,10/2023,04/2023,06/2029,-,2584.1,2584.1,968.52,16,Cumulative
