Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),AUG25 progress (%),Sector
371,709792,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",(Bharat Petroleum Corporation Limited [BPCL]),Bihar,NA,12/2022,03/2030,03/2030,3638,3638,407.18,29,Oil & Gas
372,709793,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",(Bharat Petroleum Corporation Limited [BPCL]),Bihar,NA,12/2022,06/2030,06/2030,3919,3919,400.92,18,Cumulative
373,400087,Redevelopment of Sobhasan Complex,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,08/2021,02/2026,02/2026,885.63,1286.67,789.49,78,Cumulative
374,400167,Redevelopment of Santhal Field [Onshore-Mehsana Asset],(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,02/2017,03/2026,03/2026,1162.56,1162.56,1157,94,Cumulative
375,400169,Redevelopment of Linch Field,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,04/2021,03/2025,10/2025,631.03,860.04,505.15,79,Cumulative
376,701329,Petrochemical and Lube Integration Project at Gujarat Refinery,(Ministry of Petroleum & Natural Gas),Gujarat,NA,09/2020,08/2024,12/2025,18936,17825,12327.91,83,Cumulative
377,709778,Installation of new Biturox Unit along with allied facilities at Gujarat Refinery,(MinistryofPetroleumNaturalGas),Gujarat,NA,01/2022,08/2025,09/2026,328.29,287,151.53,58,Cumulative
378,709838,Commercial Polymer Flooding Project in Bechraji field,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,01/2022,11/2024,11/2025,621.4,621.4,137.71,21,Cumulative
379,709840,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira",(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,05/2022,02/2025,12/2025,249.43,249.43,209.45,94,Cumulative
380,709841,Old Pipe Line Replacement [OPRP] Group-A,(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,07/2021,07/2025,03/2026,173.03,169.84,147.02,87,Cumulative
381,709842,"Kalol Redevelopment Project, Ahmedabad Asset",(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,08/2022,03/2027,03/2027,1487.41,1487.41,927.5,62,Cumulative
382,709845,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal",(Oil and Natural Gas Corporation Limited [ONGC]),Gujarat,NA,11/2022,08/2026,08/2026,837.34,837.34,219.13,52,Cumulative
383,604853,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II, Faridabad",(Ministry of Petroleum & Natural Gas),Haryana,NA,06/2019,12/2022,03/2026,2281.94,3200,1800.61,63,Cumulative
384,611917,Poly Butadiene Rubber plant at Panipat,(Indian Oil Corporation Limited [IOCL]),Haryana,NA,03/2022,03/2025,06/2026,1459,2531.44,1072.59,70,Cumulative
385,701289,Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,(Ministry of Petroleum & Natural Gas),Haryana,NA,02/2021,09/2024,12/2025,34627,36225,24355.1,89,Cumulative
386,709783,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery and Petrochemical Complex.",(MinistryofPetroleumNaturalGas),Haryana,NA,12/2020,06/2023,06/2026,165.13,247.69,130.6,72,Cumulative
387,709773,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua Districts",(MinistryofPetroleumNaturalGas),Jammu and Kashmir,NA,03/2022,03/2032,03/2032,538,538,3.72,0,Cumulative
388,610984,Development of Jharia CBM Block [Phase-1],(Oil and Natural Gas Corporation Limited [ONGC]),Jharkhand,NA,11/2019,01/2024,11/2025,431,431,211.4,59,Cumulative
389,709785,Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL],(MinistryofPetroleumNaturalGas),Jharkhand,NA,02/2023,02/2026,02/2026,202.07,202.07,52.42,45,Cumulative
390,612790,Power System Upgradation Project,(Mangalore Refinary and Petrochemicals Limited),Karnataka,NA,10/2023,11/2025,05/2026,385,385,137,64,Cumulative
391,616879,Demo Bio-ATF Project,(Ministry of Petroleum & Natural Gas),Karnataka,NA,03/2024,01/2027,01/2027,364,364,27.02,12,Cumulative
392,709774,Revamping/ Augmentation of facilities at existing port terminal at Mangalore,(Ministry of Petroleum & Natural Gas),Karnataka,NA,01/2022,12/2025,12/2025,463,500.62,271.16,82,Cumulative
393,709790,Replacement and Extension of Jetty Pipelines [REJP] at KR,(Bharat Petroleum Corporation Limited [BPCL]),Kerala,NA,03/2023,03/2026,03/2026,621.87,621.87,193.19,85,Cumulative
394,709799,Setting up Polypropylene Unit at Kochi Refinery,(MinistryofPetroleumNaturalGas),Kerala,NA,12/2023,10/2027,10/2027,4460,4460,265.89,13,Cumulative
395,709798,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,(MinistryofPetroleumNaturalGas),Madhya Pradesh,NA,05/2023,05/2028,05/2028,43367,43367,1855.5,14,Cumulative
396,400158,Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import Terminal,"(Department of Water Resources, River Development & GR)",Maharashtra,NA,04/2021,02/2024,12/2025,1164.69,1629.86,932.25,86,Cumulative
397,400168,"500 KTA PDHPP Project, Usar",(Ministry of Petroleum & Natural Gas),Maharashtra,NA,04/2021,04/2025,10/2025,8797,11256,6877.59,85,Cumulative
398,610985,Construction of lube oil blending plant at Rasayani,(Ministry of Petroleum & Natural Gas),Maharashtra,NA,05/2022,12/2023,12/2025,423.39,526.26,301.01,80,Cumulative
399,616933,Lube Modernization & Bottom Upgradation Project at Mumbai Refinery,(Ministry of Petroleum and Natural Gas),Maharashtra,NA,12/2024,03/2028,03/2028,4679,4679,194.44,5,Cumulative
400,709760,HP TDAE Unit in Mumbai Refinery,(Hindustan Petroleum Corporation Limited),Maharashtra,NA,06/2024,04/2026,04/2026,240,240,34.42,40,Cumulative
401,709771,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts",(MinistryofPetroleumNaturalGas),Maharashtra,NA,03/2022,09/2031,09/2031,865,865,69.15,2,Cumulative
402,709780,Construction of Additional Tankages and Allied Facilities at JNPT Terminal,(MinistryofPetroleumNaturalGas),Maharashtra,NA,04/2022,08/2026,08/2026,341.43,436.14,282.95,51,Cumulative
403,709782,ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport,(Indian Oil Corporation Limited [IOCL]),Maharashtra,NA,08/2022,08/2025,03/2026,165,165,90.75,74,Cumulative
